Unnamed: 0,id,cmpdname,smiles,mw,mf,polararea,complexity,vdw_volume
1088,21365444,2-(4-Methylcyclohexyl)propan-2-yl acrylate,CC1CCC(CC1)C(C)(C)OC(=O)C=C,210.31,C13H22O2,26.3,235.0,215.96688692046968
1089,21696203,"2,5,8,11,14,17,20,23,26,29-Decaoxahentriacontan-31-yl acrylate",COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,526.6,C24H46O12,119.0,453.0,481.2048130919372
1090,22731403,4-Ethoxy-9-oxo-8-oxa-bicyclo[4.3.0]non-3-yl acrylate,CCOC1CC2COC(=O)C2CC1OC(=O)C=C,254.28,C13H18O5,61.8,351.0,226.95443576311138
1091,44574020,4-(Acryloyloxy(phenyl)methyl)phenyl acrylate,C=CC(=O)OC1=CC=C(C=C1)C(C2=CC=CC=C2)OC(=O)C=C,308.3,C19H16O4,52.6,429.0,296.3697835209921
1092,44607774,2-Cyano-2-ethoxyethyl acrylate,CCOC(COC(=O)C=C)C#N,169.18,C8H11NO3,59.3,204.0,160.04800839480558
1093,54092897,p-Hydroxybenzoyloxybutyl acrylate,C=CC(=O)OCCCCOC(=O)C1=CC=C(C=C1)O,264.27,C14H16O5,72.8,305.0,242.06336678017593
1094,54411860,"3,5-Di-tert-butyl-4-hydroxybenzyl acrylate",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)COC(=O)C=C,290.4,C18H26O3,46.5,349.0,290.7829806371041
1095,57783175,"2-(4'-(2,4-Dimethylphenyl(4-methylphenyl)amino)biphenyl-4-yl)ethyl acrylate",CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C3=CC=C(C=C3)CCOC(=O)C=C)C4=C(C=C(C=C4)C)C,461.6,C32H31NO2,29.5,653.0,466.6531236910147
1096,58231716,"1,3-Bis(4-dibenzothiophenyl)-4-dibenzothiophenyl acrylate",C=CC(=O)OC1=C(C=C(C2=C1SC3=CC=CC=C32)C4=CC=CC5=C4SC6=CC=CC=C56)C7=CC=CC8=C7SC9=CC=CC=C89,618.8,C39H22O2S3,111.0,1080.0,551.1279508995303
1097,59992627,"Acrylate PEG Succinimidyl Carboxymethyl Ester,MW 2K",C=CC(=O)OCCOCCC(=O)ON1C(=O)CCC1=O,285.25,C12H15NO7,99.2,402.0,240.5272184599201
1098,68770745,p-Dibenzyl-aminophenethyl acrylate,C=CC(=O)OC(CC1(CC=C(C=C1)CC2=CC=CC=C2)CC3=CC=CC=C3)N,373.5,C25H27NO2,52.3,581.0,369.85709437568283
1099,68771319,p-Benzyl-ethylaminophenethyl acrylate,CCNC(CC1=CC=C(C=C1)CC2=CC=CC=C2)OC(=O)C=C,309.4,C20H23NO2,38.3,355.0,311.45074738799633
1100,69285273,"2-(4'-(2,4,6-Trimethylphenyl(4-methylphenyl)amino)biphenyl-4-yl)ethyl acrylate",CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C3=CC=C(C=C3)CCOC(=O)C=C)C4=C(C=C(C=C4C)C)C,475.6,C33H33NO2,29.5,670.0,482.02525140316055
1101,69286003,"2-(4'-(2,4-Dimethylphenyl(2,4,6-trimethylphenyl)amino)biphenyl-4-yl)ethyl acrylate",CC1=CC(=C(C=C1)N(C2=CC=C(C=C2)C3=CC=C(C=C3)CCOC(=O)C=C)C4=C(C=C(C=C4C)C)C)C,489.6,C34H35NO2,29.5,707.0,495.9241508205754
1102,70117982,2-Phenyl-2-(phenylthio)ethyl acrylate,C=CC(=O)OCC(C1=CC=CC=C1)SC2=CC=CC=C2,284.4,C17H16O2S,51.6,304.0,273.58065004435565
1103,86631897,3-methanesulfonyloxy-1-adamantyl Acrylate,CS(=O)(=O)OC12CC3CC(C1)CC(C3)(C2)OC(=O)C=C,300.37,C14H20O5S,78.0,530.0,249.6133836309078
1104,129698270,5-(3-Nitro-2-furyl)acrylate,C=CC(=O)OC1=C(C=CO1)[N+](=O)[O-],183.12,C7H5NO5,85.3,234.0,146.16913254521344
