smiles,static_polarizability,fitness,static_polarizability_pred_original,vdw_volume,refractive_index,mw
C=CC(=O)OCC,0.032424101902208,-0.0001204370689008,6.5757528196802975,102.98072071093875,1.2911032963273044,100.11699999999999
C=CC(=O)OCC#N,0.032424101902208,-0.0001956804823491,6.5757528196802975,103.30056000596753,1.2901261064485867,111.1
C=CC(=O)OC(F)(F)CF,0.032424101902208,-0.0011303589511301,6.5757528196802975,119.54248433860415,1.2479500772061551,154.087
C=CC(=O)OCC=O,0.0347165850768442,-0.0015717620184068,6.7491982778618675,105.62159349552924,1.291328685893651,114.09999999999998
C=CC(=O)OCCF,0.0347165850768442,-0.0019235027799959,6.7491982778618675,108.33328915152046,1.2834391434298398,118.107
C=CC(=O)OCC(F)F,0.0347165850768442,-0.0025815801849011,6.7491982778618675,114.20113701055656,1.2677656821175471,136.09699999999998
C=CC(=O)OCC(F)(F)F,0.0347165850768442,-0.0027659783293847,6.7491982778618675,118.87365593942664,1.256486000174703,154.087
C=CC(=O)OCCO,0.0370090682514804,-0.0003736685506206,6.922643736043438,112.30387344760052,1.2802036616507828,116.11599999999999
C=CC(=O)OC=C,0.0370090682514804,-0.0006229724279743,6.922643736043438,96.3593829439334,1.3311060411851692,98.10099999999998
C=CC(=O)OCBr,0.0370090682514804,-0.0012106340833801,6.922643736043438,105.45469870343688,1.299985602469048,164.986
C=CC(=O)OCOC,0.0370090682514804,-0.0030716727963787,6.922643736043438,112.35633697721568,1.2800623328980771,116.11599999999999
C=CC(=O)OC(C)O,0.0370090682514804,-0.0050619128636223,6.922643736043438,112.28174504017096,1.2802633155618524,116.11599999999997
C=CC(=O)OC1CN1,0.0393015514261166,-0.0003767912142832,7.096089194225006,107.6221192288214,1.3014260563757012,113.11599999999999
C=CC(=O)OCCN,0.0415940346007528,-0.0099673507923898,7.269534652406575,115.7446252255872,1.2859325263340973,115.132
C=CC(=O)OCC#C,0.043886517775389,-0.001233266336056,7.442980110588146,107.64320047239326,1.3174829063203386,110.11199999999998
C=CC(=O)OC(Cl)Cl,0.043886517775389,-0.0019487984057938,7.442980110588146,116.9446963480481,1.290070725034142,154.98
C=CC(=O)OCCCl,0.043886517775389,-0.002079745424124,7.442980110588146,118.47707379193716,1.2860086244912114,134.562
C=CC(=O)OCCC,0.0461790009500252,-0.0009774596331847,7.616425568769717,120.13454125883176,1.288854892972875,114.14399999999999
C=CC(=O)OC(C)(C)F,0.0461790009500252,-0.0095108293829692,7.616425568769717,125.04747683857548,1.2766044798758616,132.134
C=CC(=O)OC(C)C#N,0.0484714841246614,-9.233111143206602e-05,7.789871026951286,120.31524969847824,1.2955161636927357,125.12699999999998
C=CC(=O)OC1CCO1,0.0484714841246614,-0.0001121124029168,7.789871026951286,119.25889012746217,1.298362177179541,128.12699999999998
C=CC(=O)OCCC#N,0.0484714841246614,-0.0007208024859437,7.789871026951286,120.88361673853623,1.2940075609730597,125.127
C=CC(=O)OCCCF,0.0484714841246614,-0.000843979626893,7.789871026951286,125.65164501932918,1.2819413975041658,132.134
C=CC(=O)OCC=C,0.0484714841246614,-0.001021642446517,7.789871026951286,113.813558398379,1.3139629119147256,112.12799999999999
C=CC(=O)OCC1CO1,0.0484714841246614,-0.0017837623357763,7.789871026951286,120.60279575420871,1.2947509790772378,128.12699999999998
C=CC(=O)OC(C(F)(F)F)C(F)(F)F,0.0484714841246614,-0.002500865817069,7.789871026951286,151.3904736300815,1.2309365391636211,222.08399999999995
C=CC(=O)OCC(F)(F)C(F)(F)F,0.0507639672992976,-0.00026271011813,7.9633164851328555,147.0280821731484,1.2438833857274398,204.09399999999997
C=CC(=O)Oc1nn[nH]n1,0.0507639672992976,-0.0029038089873043,7.9633164851328555,114.22233113630416,1.3203659205155358,140.102
C=CC(=O)OC(O)CC,0.0507639672992976,-0.0051822428046019,7.9633164851328555,128.59622124462035,1.281593357447924,130.14299999999997
C=CC(=O)OCCBr,0.0507639672992976,-0.0053346912922112,7.9633164851328555,124.47461455906512,1.2917027120784954,179.01299999999998
C=CC(=O)OC=CC,0.0530564504739338,-0.0029134023067051,8.136761943314424,113.62022484377366,1.3299483634464058,112.12799999999997
