id,cmpdname,smiles_component,smiles_normalized,mw,mf,polararea,complexity,Category,Reason,Category_renormalized,Reason_renormalized
129880690,Vanillin acrylate,COC1=C(C=CC(=C1OC(=O)C=C)C=O)O,COC1=C(C=CC(=C1OC(=O)C=C)C=O)O,222.19,C11H10O5,72.8,276.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
13568817,Butadiene acrylate,C=C/C=C/OC(=O)C=C,C=C/C=C/OC(=O)C=C,124.14,C7H8O2,26.3,145.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
19989416,Morpholyl acrylate,C=CC(=O)ON1CCOCC1,C=CC(=O)ON1CCOCC1,157.17,C7H11NO3,38.8,152.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
129712170,Imidazole acrylate,C=CC(=O)ON1C=CN=C1,C=CC(=O)ON1C=CN=C1,138.12,C6H6N2O2,44.1,147.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
129849674,Galactose acrylate,C=CC(=O)O[C@@]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O,C=CC(=O)O[C@@]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O,250.2,C9H14O8,137.0,305.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
87139918,Chro-mium acrylate,[Cr],[Cr],124.06,C3H4CrO2,37.3,55.9,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
18767473,Hexyldecyl acrylate,CCCCCCCCCC(CCCCCC)OC(=O)C=C,CCCCCCCCCC(CCCCCC)OC(=O)C=C,296.5,C19H36O2,26.3,248.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
53735402,Isocyanato acrylate,C=CC(=O)ON=C=O,C=CC(=O)ON=C=O,113.07,C4H3NO3,55.7,145.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
87193678,Sulfohexyl acrylate,C=CC(=O)OCCCCCCS(=O)(=O)O,C=CC(=O)OCCCCCCS(=O)(=O)O,236.29,C9H16O5S,89.0,288.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
137331643,Phosphorus acrylate,C=CC(=O)OP(OC(=O)C=C)OC(=O)C=C,C=CC(=O)OP(OC(=O)C=C)OC(=O)C=C,244.14,C9H9O6P,78.9,283.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
17841663,Norbornenyl acrylate,C=CC(=O)OC12CCC(C1)C=C2,C=CC(=O)OC12CCC(C1)C=C2,164.2,C10H12O2,26.3,255.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
21746034,3-Pyridyl acrylate,C=CC(=O)OC1=CN=CC=C1,C=CC(=O)OC1=CN=CC=C1,149.15,C8H7NO2,39.2,156.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
154701912,Imidazolium acrylate,C1=C[NH+]=CN1,C1=C[NH+]=CN1,140.14,C6H8N2O2,70.1,74.5,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
129664895,Barium lead acrylate,C=CC(=O)O[Pb]OC(=O)C=C,C=CC(=O)O[Pb]OC(=O)C=C,629.0,C12H12BaO8Pb,133.0,302.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
67859946,Phenothiazine acrylate,C=CC(=O)OC1=C2C(=CC=C1)SC3=CC=CC=C3N2,C=CC(=O)OC1=C2C(=CC=C1)SC3=CC=CC=C3N2,269.3,C15H11NO2S,63.6,360.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
129821362,Cyanobiphenyl acrylate,C=CC(=O)OC1=CC=CC(=C1C#N)C2=CC=CC=C2,C=CC(=O)OC1=CC=CC(=C1C#N)C2=CC=CC=C2,249.26,C16H11NO2,50.1,376.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
123930798,Methyl 3-(3-fluoro-4-methylphenyl)acrylate,CC1=C(C=C(C=C1)C=CC(=O)OC)F,CC1=C(C=C(C=C1)C=CC(=O)OC)F,194.2,C11H11FO2,26.3,225.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
21727128,Glycidylmethyl-acrylate,C=CC(=O)OCCC1CO1,C=CC(=O)OCCC1CO1,142.15,C7H10O3,38.8,142.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
21867900,Carboxy ethyl acrylate,CCC(=C)C(=O)OC(=O)O,C=CC(=O)OC(=O)O,144.12,C6H8O4,63.6,171.0,Alpha-Substituted Acrylate,Found Alpha-Substituted Acrylate moiety,Acrylate,Found Acrylate moiety
66603448,Ethyladamantyl acrylate,CCC1C2CC3CC(C2)CC1(C3)OC(=O)C=C,CCC1C2CC3CC(C2)CC1(C3)OC(=O)C=C,234.33,C15H22O2,26.3,333.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
86587756,Ethyl lactate acrylate,CCOC(=O)C(C)O,CCOC(=O)C(C)O,190.19,C8H14O5,83.8,136.0,Not Acrylate,No acrylic moiety,Not Acrylate,No acrylic moiety
10774171,methyl (E)-3-(2-methoxy-5-pyrimidinyl)acrylate,COC1=NC=C(C=N1)/C=C/C(=O)OC,COC1=NC=C(C=N1)/C=C/C(=O)OC,194.19,C9H10N2O3,61.3,210.0,Beta-Substituted,Found Beta-Substituted moiety,Beta-Substituted,Found Beta-Substituted moiety
19899675,1-Bromobutane acrylate,CCCC(OC(=O)C=C)Br,CCCC(OC(=O)C=C)Br,207.06,C7H11BrO2,26.3,123.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
22613596,4-Cyanophenyl acrylate,C=CC(=O)OC1=CC=C(C=C1)C#N,C=CC(=O)OC1=CC=C(C=C1)C#N,173.17,C10H7NO2,50.1,243.0,Acrylate,Found Acrylate moiety,Acrylate,Found Acrylate moiety
