id_A,id_B,smiles,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,vdw_volume,refractive_index,mw
71375967,,C=CC(=O)OCCCCOC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,,0,183.675157075,216.555146728,163.407859891,27.84085261064264,monomer,310.96902790232565,1.4236986338581792,324.37600000000003
70480932,,CC1(C2CCC1(CC2OC(=O)C=C)C)C,,0,117.915784229,100.421024652,104.799285695,15.961276155092374,monomer,216.37623314050907,1.3409018563230009,208.301
129762066,,C=CCC1=NN=NN1OC(=O)C=C,,0,59.4794567954,63.6172633274,113.811284103,11.702047967626317,monomer,158.5595778809926,1.341085233584367,180.167
17111,,CN(C)CCOC(=O)C=C,,0,49.144499063,66.3786019261,86.7053593248,9.989055248453926,monomer,149.48595249248507,1.3058491214106864,143.18599999999998
17259,,CCCCCCOC(=O)C=C,,0,83.9362559951,88.232586963,62.5328487753,11.593067375341093,monomer,170.12480756207955,1.3124602068692803,156.225
105239,,CN(CCOC(=O)C=C)S(=O)(=O)CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,147.625583374,119.644343468,182.10681299,22.196920624250122,monomer,355.7586694778203,1.28389620631914,525.2829999999999
3083883,,C=CC(=O)OC(C(C(C(C(C(C(C(C(C(CF)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,,0,104.973248126,128.207430451,160.184024696,19.430211492915184,monomer,357.36964668255024,1.2448834875582884,586.16
20963,,C=CC(=O)OCCBr,,0,29.7517121141,70.9951367268,66.083159364,8.240552128380243,monomer,124.47461455906512,1.3027576380620105,179.01299999999998
54033718,,CCCCC(CN1C=NC=N1)(COC(=O)C=C)C2=CC=C(C=C2)Cl,,0,172.624199625,190.803754591,160.48617593,25.878687813529087,monomer,322.8363542821776,1.3739203978809291,347.846
23513520,,C=CC(=O)OCCC1=CC=CC2=CC=CC=C21,,0,182.755152774,92.3934910712,135.063503181,20.26238934851827,monomer,220.57908128849712,1.4363579041762986,226.275
11378874,,C=CC(=O)OCOP(=O)(O)O,,0,49.8446276053,58.7222992326,67.9056963339,8.71684816255082,monomer,144.06047061243189,1.2746458860134364,182.06799999999998
3023749,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,,0,276.373828581,250.183077789,265.267222938,39.11207632416949,monomer,539.2230570762898,1.3346222961081622,464.8190000000004
18546535,,CSCCCSCCCOC(=O)C=C,,0,106.833701135,106.825931038,114.752628979,16.22189189308446,monomer,223.8202547835772,1.334333387870087,234.38599999999994
543282,,CCCCCCCCCC(CCC)OC(=O)C=C,,0,132.13045527,147.842831897,135.02199395,20.498651794563706,monomer,288.7426781666154,1.3268037860018926,254.41399999999996
66643588,,CC(C)(C1=CC=CC=C1)SCCOC(=O)C=C,,0,157.470111834,122.105821386,120.921423118,19.782528201571065,monomer,243.9298830906609,1.3788316187487744,250.36299999999991
3022444,,CCCCCCCCCCCCCCCC(C)COC(=O)C=C,,0,165.990596741,196.19873989,173.455699789,26.458134794945714,monomer,372.52758453291966,1.326958050015475,324.54900000000004
121476710,,C[C@@]12CCC(C1(C)C)CC2OC(=O)C=C,,0,119.217242246,79.8428433554,123.45399351,15.930551761346623,monomer,216.8300339287457,1.339390532449103,208.301
904858,,C[C@]12CC[C@H](C1(C)C)C[C@@H]2OC(=O)C=C,,0,106.036448853,92.1875160684,131.816125862,16.3022983803706,monomer,215.96617784933537,1.3497071738775137,208.301
129854601,,CCCCCCCCOC(=O)CCOC(=O)C=C,,0,143.628927191,105.58836339,129.821623163,18.72259050395655,monomer,268.0917036528959,1.3209647335203916,256.342
3023480,,C=CC(=O)OCCCC1=CC=CO1,,0,59.9657099977,94.9882315055,103.040106715,12.743591072313325,monomer,173.41530292517652,1.3394708340662325,180.203
90476426,,C=CC(=O)OC1CC2[C@@H]3CC[C@@H](C3)C2C1,,0,91.9945228467,128.597981609,104.230321319,16.04459207960148,monomer,204.36994726832484,1.3653143946963004,206.28499999999994
23325021,,C=CC(=O)OC1=CC=CC=N1,,0,122.292582843,62.6406653404,45.8908267556,11.401532868617995,monomer,136.4147839653526,1.3918887997918206,149.14899999999997
13651710,,CC(C)(COC(=O)C=C)C=O,,0,66.5368738115,57.8188000635,90.9318397825,10.634105925985892,monomer,156.3447669940864,1.3118214653041562,156.18099999999998
44152441,,CC(COC(COCC(C)OCC(C)OC(=O)C=C)COCC(C)OC(=O)C=C)O,,0,213.587801131,192.975542874,181.694010403,29.056915156105568,monomer,426.6359618232535,1.3122725623767135,432.5100000000003
2774977,,C=CC(=O)OCC(C(C(F)(F)F)F)(F)F,,0,74.1798402855,38.8614393235,77.7394889369,9.423597620183772,monomer,168.188479169114,1.252878877641871,236.11099999999993
100973,,CNC(=O)CCOC(=O)C=C,,0,51.7206843596,91.1813973202,64.2633535775,10.23291664854226,monomer,151.85748898808592,1.3086580767770162,157.16899999999998
543286,,CCCCCCCCCCCCC(CC)OC(=O)C=C,,0,155.638823113,164.874890526,148.879279659,23.18562152929869,monomer,320.2831210319505,1.33389464241581,282.46799999999996
109857,,CN(CCCCOC(=O)C=C)S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,143.583553064,144.879511676,173.869388024,22.83686681214068,monomer,344.9235794402915,1.3027865795029463,489.30299999999994
69890866,,C=CC(=O)OC1C2CC3C1OC(=O)C3C2,,0,123.914052489,71.8937905809,89.9626110955,14.115603959022698,monomer,184.55873908926924,1.354840668834636,208.21299999999997
69890866,,C=CC(=O)OC12CC3CC(CC(C3)C1)C2,,0,123.914052489,71.8937905809,89.9626110955,14.115603959022698,monomer,204.4847165615344,1.3169057187328663,206.28499999999994
170900921,,C=CC(=O)OCCCCN1C=NC2=C(N=C(N=C21)N)N,,0,155.647292298,154.975575433,97.9219858815,20.180033551520253,monomer,250.87843480702549,1.3753682570188832,276.3
146013805,,C=CC(=O)OC(C#N)(C(F)(F)Cl)C(F)(Cl)Cl,,0,96.6844116995,83.6000232787,86.2938497328,13.16760860406566,monomer,198.6747088602835,1.3031290402089022,296.45899999999995
174625,,CCC1(COC(OC1)C(C)(C)COC(=O)C=C)COC(=O)C=C,,0,133.445552926,186.365014248,145.651222782,22.991440120236923,monomer,319.7951078218448,1.331371716160535,326.389
164577025,,CC1(CC(=CC(=C(C#N)C#N)C1)/C=C/C2=CC3=C(C=C(C=C3)OC(=O)C=C)OC2=O)C,,0,402.25054468,399.861246873,324.282588899,55.63814153763643,monomer,379.8241231900698,1.7742409267849912,412.4450000000002
129866931,,C=CC(=O)OC(O)(OC(=O)C=C)C(O)CO,,0,94.6498920961,104.17537803,68.2506341086,13.192188472335598,monomer,203.42837372289577,1.296030914690128,232.18799999999996
2778248,,CC(C(F)(F)F)(C(F)(F)F)OC(=O)C=C,,0,43.9286318848,82.4682724081,61.5706455742,9.284638955488917,monomer,168.71360749602306,1.2480669988175332,236.111
22372339,,CCCC1=CC=C(C=C1)OC(=O)C=C,,0,112.957184049,122.128320807,92.9281918984,16.202204843192906,monomer,191.76233105082852,1.3967147686593646,190.24199999999993
145994990,,C=CC(=O)OCCOC1=C2C=CC(=CC2=NC=C1)Cl,,0,99.5542749573,165.707886418,168.938616707,21.447305460633327,monomer,240.91863801970592,1.42096351739567,277.707
135398202,,CCOC(=O)C(C)(COC(=O)C=C)COC(=O)C=C,,0,101.98884901,114.011392103,142.057953204,17.686249895996095,monomer,257.90123885234186,1.314632699986947,270.281
59992627,,C=CC(=O)OCCOCCC(=O)ON1C(=O)CCC1=O,,0,141.561913516,98.8835695874,120.832682376,17.845300060298968,monomer,251.6496300019008,1.3264014832360125,285.252
129851491,,C=CC(=O)OC1=CC(=CC2=C1N(C3=CC=CC=C32)CCO)Cl,,0,178.418705768,121.66527776,251.076603199,27.22452390252345,monomer,270.4479036220301,1.4852558829192717,315.756
155899407,,CCCCCCCC(CCCCCCC)N1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCCCCCOC(=O)C=C)C1=O,,0,379.22911744,784.765776208,451.170398739,79.78093348481094,monomer,722.9380193533973,1.5412097669219815,754.9679999999997
168655174,,C=CC(=O)OC1=C(C=CC(=C1)C2=NC3=CC=CC=C3S2)C4=NC5=CC=CC=C5S4,,0,447.563365857,192.508018639,315.470018658,47.19887523978953,monomer,345.58151482825497,1.7059287392553792,414.5110000000001
10197737,,C=CC(=O)OC(F)(F)F,,0,24.7137013549,27.183857571,56.2456252561,5.341722128828751,monomer,102.05350945987414,1.2351682517051863,140.06
129696010,,C=CC(=O)OC1=CC=CC=C1C(C(C(O)(F)F)(F)F)(F)F,,0,163.850523561,39.9257868833,136.092434486,16.78778380185349,monomer,232.83923386893449,1.3324176791038345,314.1809999999999
10308068,,C=CC(=O)OC1=C2C=CC=CC2=CC3=CC=CC=C31,,0,246.056538669,40.8757995572,227.275606021,25.399251699322498,monomer,227.6926718824407,1.5482696323945608,248.281
119747,,C=CC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,126.634087564,110.97936354,123.070959736,17.815971607282087,monomer,327.1266433636696,1.2453253075615969,518.1629999999999
564417,,C=CC(=O)OCCCCC=C1CC1,,0,93.0106853962,96.4405187691,108.062848274,14.695677860547487,monomer,191.8137670426485,1.3555177344604905,180.24699999999999
81215,,C=CC(=O)OC1=CC=C(C=C1)OC(=O)C=C,,0,147.475893351,35.3349998043,181.379178841,17.989133401216943,monomer,198.06989285003752,1.430706597299858,218.20799999999997
58231725,,C=CC(=O)OC1=C(C2=C(C=C1)C=C(C=C2)C3=CC=CC4=C3SC5=CC=CC=C45)C6=CC=CC7=C6SC8=CC=CC=C78,,0,387.777676664,573.863447345,292.236462533,61.935162179075405,monomer,483.0676488952121,1.65102191739354,562.7150000000003
19979416,,CC1(CC(CC(N1OC)(C)C)OC(=O)C=C)C,,0,102.174495014,116.734974054,138.665039043,17.662358262607064,monomer,249.7769025683241,1.325386434924934,241.331
53702279,,CCCCCC=CCC=CCCCCCCCCOC(=O)C=C,,0,210.688153205,170.140975488,174.589561725,27.43485252272371,monomer,360.53886265926,1.3528369308474604,320.517
76133726,,C=CC(=O)OCCCCCCCF,,0,66.7086461741,87.5454501392,105.67666447,12.839254802250894,monomer,193.61222020340892,1.3033136587461716,188.24199999999996
69446413,,CC(OC(=O)C=C)OC(=O)C1=CC=CC2=CC=CC=C21,,0,96.6381129325,166.646099697,184.364055136,22.11154291361099,monomer,245.13778365819385,1.4273322554661871,270.284
18366398,,C=CC(=O)OI,,0,37.3174319994,46.3186920034,58.5483649498,7.023189087313081,monomer,98.6143299042964,1.3279473936263435,197.959
20607910,,C=CC(=O)OCCOC1=CC=C(C=C1)C2=CC=CC=C2,,0,172.038323894,182.956919191,143.445998337,24.620456937386347,monomer,258.1773255231386,1.4556022807443003,268.312
129722417,,C=CC(=O)OC(=C=O)OC(=O)C=C,,0,93.1826201454,66.7522241705,108.702446847,13.269313028719965,monomer,156.24086369527112,1.3990377164524117,182.13099999999997
86600777,,C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCC,,0,215.509565837,223.586455308,202.412315604,31.687242281244306,monomer,446.59250624462015,1.3266042797895736,380.65700000000027
129815894,,C=CC(=O)OC(=C1C=CC=C1)O,,0,90.0056649985,60.4936352182,113.716574639,13.050917597629399,monomer,150.10565348142103,1.409792697319868,164.16
72941646,,CC[N+](C)(C)CCOC(=O)C=C,,0,75.7914476799,87.6572053451,109.774714442,13.495841824440275,monomer,185.5146219133604,1.335711019677406,172.248
54411860,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)COC(=O)C=C,,0,190.335412808,149.121276334,144.673250181,23.91355155363211,monomer,302.46637474749605,1.368194757048273,290.403
114487,,CCCCOCC(COC(=O)C=C)O,,0,100.188022764,87.5529468924,88.2315459504,13.631635731054711,monomer,204.97654926570848,1.304256264622002,202.24999999999997
100948,,CCN(CCOC(=O)C=C)S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,121.292516839,176.470798329,192.337489629,24.208481876536684,monomer,380.3377564541949,1.290093742903709,575.2900000000001
129773823,,C=CC(=O)OC1=CC=CC=C1C(=O)OCC2=CC=CC=C2,,0,208.542052066,110.308074057,133.128007579,22.3254162229907,monomer,259.45067542926444,1.4050029304700238,282.29499999999996
53752639,,CC(CC1OCC(CO1)(C)C)OC(=O)C=C,,0,114.07617045,103.719675867,102.329514539,15.812561254030573,monomer,227.9517226313613,1.3186052823228085,228.28799999999998
13262697,,C=CC(=O)OCC1=CC=CC2=CC=CC=C21,,0,127.923499582,61.7073255583,178.184542061,18.168204507422715,monomer,201.3283270882117,1.4275556381985544,212.248
53845741,,CCCCCCCCCCCCSCC(CSCCCCCCCCCCCC)OC(=O)C=C,,0,270.807964923,252.232568183,327.357736047,42.00534029964641,monomer,560.6914309467609,1.3467901428865343,514.9260000000005
137796794,,C=CC(=O)OC(=C)C(=O)N,,0,70.8912956734,67.2765069505,48.3798892021,9.214505204801727,monomer,130.28012750322097,1.3254666347191193,141.12599999999998
57783180,,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C4=CC=C(C=C4)CCCOC(=O)C=C,,0,465.866910185,221.36230964,370.23056268,52.23312373572217,monomer,457.0615880330431,1.5645533103105516,461.60500000000036
13847848,,CC(C)CCCCCCCCCCCCCOC(=O)C=C,,0,179.063836041,135.670339338,163.262383771,23.610593832880202,monomer,339.394650237863,1.319605831253157,296.49499999999995
93414,,CC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C,,0,96.0361615283,137.644078522,176.682700473,20.26983777873082,monomer,297.2612478489873,1.3126815027304752,300.35100000000006
129827076,,C=CC(=O)OCC1CCC(CC1)COCC2CO2,,0,114.876324921,123.306359037,131.051267888,18.238275358817823,monomer,255.3924819805612,1.3289299276684572,254.32599999999994
90732367,,CC1=C(C(=CC=C1)C)OC(=O)C=C,,0,67.1643404676,110.012322309,120.098749961,14.683890275550523,monomer,174.1169354135977,1.3958790361766158,176.21499999999995
168435105,,C=CC(=O)OCCCCCCCCCCCCCCCCCCl,,0,158.356561158,173.28677683,192.497467986,25.88988444414115,monomer,374.69920939953136,1.3172324807006264,344.9670000000001
92001635,,C=CC(=O)OC(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,,0,93.1158845225,121.768258445,122.463776624,16.663267877923246,monomer,297.83099446233444,1.252486635803599,448.1749999999999
7827,,CCOCCOC(=O)C=C,,0,75.2138780421,39.2861883226,81.8108122789,9.696756873882352,monomer,144.67888252143553,1.306847199785399,144.17
66603448,,CCC1C2CC3CC(C2)CC1(C3)OC(=O)C=C,,0,118.043715903,127.616469511,129.356023962,18.52388941056061,monomer,236.720448899788,1.363988949799992,234.33899999999994
91997189,,CC1C2CC(C1(C)C)CC2C3CCCC(C3)OC(=O)C=C,,0,149.62498532,135.061852348,186.112046482,23.25506537203045,monomer,306.2996409880207,1.351954715661414,290.447
13841383,,CC(C)CCCCCCCCCCCOC(=O)C=C,,0,153.717815933,156.330881356,125.682003856,21.52287586242283,monomer,307.0283321223497,1.3222964382329352,268.441
129834451,,C=CC(=O)ON1C(=O)C=CC2=CC=CC=C21,,0,123.823749386,93.6112956731,152.176970678,18.256949788172534,monomer,187.82651122646567,1.4658123551617674,215.208
89485934,,CCC(C)(OC(=O)CCOC(=O)C=C)Br,,0,97.7106716578,101.290019669,98.083496556,14.674444742332742,monomer,219.09078952034685,1.3066285499911263,279.12999999999994
134767817,,C[C@H]1CC[C@@H]([C@H](C1)OC(=O)C=C)C(C)(C)C2=CC=C(C=C2)OC,,0,173.657142224,114.600226313,227.519607704,25.47675388298316,monomer,324.2180200162873,1.3656855947871978,316.44100000000003
67841,,CCCCN(CCOC(=O)C=C)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,188.084350737,174.757784722,199.153003816,27.75969557829183,monomer,444.0952310267692,1.2844634552507177,653.3510000000003
118536009,,C=CC(=O)OCC(C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC4=CC=CC=C4,,0,240.664970558,290.042096992,240.336892298,38.0856418624425,monomer,415.1676238522661,1.4356793011733038,434.53500000000014
22034164,,C=CC(=O)OC1=NC2=CC=CC=C2C=C1,,0,215.239871262,31.1033449277,119.236474228,18.057773468812215,monomer,179.24248504171783,1.485710357821152,199.209
57567,,CC(OC(=O)CCN1CC1)OC(=O)C=C,,0,70.6532965133,118.180631651,97.9521833275,14.16577225448002,monomer,203.8420335671713,1.3192387202803084,213.23299999999995
91058,,CC=CCOC(=O)C=C,,0,46.7144246233,64.70857354,86.5916448811,9.780914151762644,monomer,131.03170346030947,1.345398093495619,126.15499999999999
3020591,,CCC(COC)OC(=O)C=C,,0,58.5632610481,87.5092507098,75.6278293148,10.950866916253046,monomer,162.5700211076809,1.3085377111747416,158.19699999999997
169440089,,CCO[13C](=O)[13CH]=[13CH2],,0,69.1046139219,45.8471125182,24.9439619387,6.910134004220949,monomer,102.62679711599384,1.3083963450841496,103.09406452
14511978,,C=CC(=O)OCCOC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],,0,185.463305674,36.4913058009,176.225390082,19.668062686169588,monomer,254.3876968226266,1.3591374421431128,310.2180000000001
11040716,,CC(=O)COC(=O)C=C,,0,63.1810991044,33.3772800008,70.1693091101,8.235498042384883,monomer,122.41336090722278,1.3081138617723946,128.12699999999998
44148663,,CC(COCC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C,,0,192.643833225,278.171013594,197.844339768,33.02835588441016,monomer,473.7659911566898,1.320349839480726,486.55800000000033
168442280,,C=CC(=O)OCCC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,,0,267.163018282,398.778195403,241.875482994,44.84151797684519,monomer,462.9459521865836,1.463919064211158,512.5700000000002
545786,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCCCOC(=O)C=C,,0,185.035791564,145.475395727,231.689186236,27.769833104330058,monomer,352.24710584774107,1.3670215631553186,332.4840000000001
129782167,,C=CC(=O)ON1C(=O)CCN2C1=NC3=CC=CC=C32,,0,107.040791262,120.147621653,195.607705132,20.883973380640153,monomer,221.84189724247287,1.4488490556877711,257.249
154732282,,C=CC(=O)N1CCC2(CC1)SCC(S2)COC(=O)C=C,,0,136.621893099,115.529028001,195.342576307,22.103898046714015,monomer,281.8829128244681,1.3648346860946308,313.4440000000001
10866703,,C=CC(=O)OCC1=CCCCC1,,0,113.29712368,59.0026072637,96.0039643665,13.25283509382345,monomer,170.4007803058862,1.3615133422147554,166.21999999999994
91938,,C=CC(=O)OCC(CO)(CO)CO,,0,92.7349776755,80.5449402171,58.8732625024,11.46718390413692,monomer,178.17752458599514,1.2935970517852966,190.19499999999996
129721473,,C=CC(=O)OCCOCC1=CC=C(C=C1)I,,0,79.0352585778,115.777674788,176.651546907,18.348452094841864,monomer,231.16721725873165,1.3698145796717411,332.137
13568817,,C=C/C=C/OC(=O)C=C,,0,82.3870392688,64.0409390895,75.2855421452,10.9515179129634,monomer,124.51658906848216,1.4151968419080396,124.13899999999998
58231733,,C=CC(=O)OC1=C(C=C(C=C1)C2=CC=CC3=C2OC4=CC=CC=C34)C5=CC=CC6=C5OC7=CC=CC=C67,,0,252.307887881,428.210005468,364.926122899,51.639606122981725,monomer,419.6944456925656,1.6182408640602928,480.5190000000002
78823,,CC(C)CCCOC(=O)C=C,,0,86.4595259608,70.0397358709,80.1146151585,11.68751958125615,monomer,170.73453458931033,1.3140140841606818,156.225
68647810,,COC1=C(C=C(C=C1)CC(C#N)OC(=O)C=C)OC,,0,160.037831505,105.483982708,136.229457681,19.844465239247853,monomer,244.6081077158016,1.3789801549766625,261.277
21251808,,CC1=CC(=O)OC2=C1C=CC(=C2)OCCOC(=O)C=C,,0,105.560667074,201.618898005,153.874286427,22.77371042659989,monomer,244.0891183662893,1.4442418807798298,274.272
18362117,,CCC1=CC=C(C=C1)OC(=O)C=C,,0,145.494003123,106.968837453,54.9332005794,15.183797737920337,monomer,174.14897746047131,1.411098002635625,176.21499999999995
