id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
129849674,,C=CC(=O)O[C@@]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O,,1,167.92352059,186.62162687,192.119953112,182.22170019066667,homopoly
3022444,,CCCCCCCCCCCCCCCC(C)COC(=O)C=C,,0,165.990596741,196.19873989,173.455699789,178.54834547333334,monomer
62552,,CCCCCCCCCCCCCCCCCCOC(=O)C=C,,2,697.183628053,725.045775672,745.010539391,722.413314372,homopoly
168442280,,C=CC(=O)OCCC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,,1,562.394101071,581.063701721,653.652642688,599.0368151600001,homopoly
68771319,,CCNC(CC1=CC=C(C=C1)CC2=CC=CC=C2)OC(=O)C=C,,1,342.181277522,404.187533636,320.135455715,355.501422291,homopoly
118885882,,C=CC(=O)NCCOCCOC(=O)C=C,,1,199.216734848,226.12137553,158.116657735,194.48492270433334,homopoly
59317428,,CC(=O)OC1=CC=C(C=C1)CCOC(=O)C=C,,1,189.6053988,274.128859723,231.005542451,231.579933658,homopoly
129774974,,C=CC(=O)OC(OC(=O)C=C)(OC(=O)C=C)F,,2,405.586927519,377.268139541,339.708950424,374.18800582800003,homopoly
2776049,,C=CC(=O)OCC1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,,2,361.089739205,340.081861368,380.992345653,360.72131540866667,homopoly
86740375,,COC(=O)COC(=O)C=C,,2,232.561307372,214.255569283,241.093200359,229.30335900466665,homopoly
121476710,,C[C@@]12CCC(C1(C)C)CC2OC(=O)C=C,,0,119.217242246,79.8428433554,123.45399351,107.50469303713334,monomer
3022439,,CCCCCCCCCCC(C)COC(=O)C=C,,2,555.351982197,562.259332332,543.879584594,553.8302997076667,homopoly
21981399,,C=CC(=O)OCCCN,,2,233.623945112,234.01157004,236.189550322,234.608355158,homopoly
129689811,,C=CC(=O)O[C@@]1([C@@H]([C@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)CO,,2,607.071757856,569.043018114,630.178288639,602.097688203,homopoly
149983942,,CC(=O)NC1=CC(=CC=C1)OC(=O)C=C,,2,415.171941549,476.768440008,437.916850676,443.2857440776667,homopoly
904858,,C[C@]12CC[C@H](C1(C)C)C[C@@H]2OC(=O)C=C,,0,106.036448853,92.1875160684,131.816125862,110.01336359446668,monomer
22186490,,CC(C)(C)CCOC(=O)C=C,,1,144.648610567,152.663616703,168.765467274,155.35923151466667,homopoly
72941646,,CC[N+](C)(C)CCOC(=O)C=C,,1,196.614740559,222.355822411,995.445128766,471.47189724533337,homopoly
54438140,,C=CC(=O)OCCC1NCCO1,,2,295.060039515,343.527038087,275.060099453,304.54905901833337,homopoly
129854601,,CCCCCCCCOC(=O)CCOC(=O)C=C,,0,143.628927191,105.58836339,129.821623163,126.34630458133331,monomer
3023480,,C=CC(=O)OCCCC1=CC=CO1,,0,59.9657099977,94.9882315055,103.040106715,85.99801607273332,monomer
62414,,C=CC(=O)OCCOCCOCCOC(=O)C=C,,2,493.233840623,463.351242083,389.869203696,448.8180954673333,homopoly
3022446,,CCCCCCCCCCCCCCCCCC(C)COC(=O)C=C,,1,406.622150969,396.389694768,372.222610713,391.7448188166666,homopoly
18667925,,CC1=CC=CC=C1OCCOC(=O)C=C,,2,491.129322524,430.146365783,372.786353723,431.35401400999996,homopoly
81766,,CCOCCOCCOC(=O)C=C,,1,146.863962453,179.054328976,177.830021723,167.91610438399996,homopoly
90476426,,C=CC(=O)OC1CC2[C@@H]3CC[C@@H](C3)C2C1,,0,91.9945228467,128.597981609,104.230321319,108.27427525823333,monomer
23325021,,C=CC(=O)OC1=CC=CC=N1,,0,122.292582843,62.6406653404,45.8908267556,76.94135831300001,monomer
53735402,,C=CC(=O)ON=C=O,,1,78.8119430651,116.12274611,82.9005285593,92.61173924479999,homopoly
13651710,,CC(C)(COC(=O)C=C)C=O,,0,66.5368738115,57.8188000635,90.9318397825,71.7625045525,monomer
44152441,,CC(COC(COCC(C)OCC(C)OC(=O)C=C)COCC(C)OC(=O)C=C)O,,0,213.587801131,192.975542874,181.694010403,196.08578480266667,monomer
543287,,CCCCCCCCCCCC(CCC)OC(=O)C=C,,1,321.704863614,298.556532999,299.210359943,306.49058551866665,homopoly
105238,,CN(CCOC(=O)C=C)S(=O)(=O)CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,1,314.156187835,376.543683096,317.162184576,335.9540185023334,homopoly
67921,,CCN(CCOC(=O)C=C)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,1,374.189237881,308.596527279,349.544237912,344.110001024,homopoly
18667925,,CC1=CC=CC=C1OCCOC(=O)C=C,,1,235.370465427,176.453152729,229.203804848,213.67580766799998,homopoly
2774977,,C=CC(=O)OCC(C(C(F)(F)F)F)(F)F,,0,74.1798402855,38.8614393235,77.7394889369,63.5935895153,monomer
59689374,,C=CC(=O)OCCCC(C(F)(F)F)(F)F,,2,269.856406938,279.884148819,303.510068885,284.4168748806667,homopoly
169406,,C=CC(=O)OCCOP(=O)(O)O,,1,124.739751066,145.73452079,129.123866207,133.19937935433333,homopoly
21909953,,C=CC(=O)OF,,1,60.1038606593,74.689065811,51.1276468394,61.97352443656667,homopoly
57783175,,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C3=CC=C(C=C3)CCOC(=O)C=C)C4=C(C=C(C=C4)C)C,,2,863.684038614,1669.4074149,1532.4751616,1355.1888717046668,homopoly
100973,,CNC(=O)CCOC(=O)C=C,,0,51.7206843596,91.1813973202,64.2633535775,69.05514508576667,monomer
3083883,,C=CC(=O)OC(C(C(C(C(C(C(C(C(C(CF)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,,2,562.808008497,500.732417155,515.468550846,526.3363254993334,homopoly
19706376,,C=CC(=O)OC1CCC(CC1)C2=C(C(=CC=C2)F)F,,1,227.848047173,279.076415656,277.483698092,261.46938697366664,homopoly
543286,,CCCCCCCCCCCCC(CC)OC(=O)C=C,,0,155.638823113,164.874890526,148.879279659,156.46433109933332,monomer
28803,,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,,1,262.148951585,301.108442466,237.648611704,266.968668585,homopoly
44152441,,CC(COC(COCC(C)OCC(C)OC(=O)C=C)COCC(C)OC(=O)C=C)O,,1,405.547956061,356.846976634,416.477465243,392.95746597933334,homopoly
82699,,C=CC(=O)OCC1=CC=CO1,,2,266.267362013,258.169340942,317.363367132,280.6000233623334,homopoly
109857,,CN(CCCCOC(=O)C=C)S(=O)(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,143.583553064,144.879511676,173.869388024,154.110817588,monomer
69890866,,C=CC(=O)OC1C2CC3C1OC(=O)C3C2,,0,123.914052489,71.8937905809,89.9626110955,95.25681805513334,monomer
69890866,,C=CC(=O)OC12CC3CC(CC(C3)C1)C2,,0,123.914052489,71.8937905809,89.9626110955,95.25681805513334,monomer
3086961,,CC(OCCOCCOC=C)OC(=O)C=C,,2,406.873432082,406.676924304,443.271236239,418.940530875,homopoly
75118,,C=CC(=O)OC=C,,2,191.447941148,227.29584431,163.69207436,194.145286606,homopoly
170900921,,C=CC(=O)OCCCCN1C=NC2=C(N=C(N=C21)N)N,,0,155.647292298,154.975575433,97.9219858815,136.18161787083332,monomer
54411860,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)COC(=O)C=C,,2,679.89276554,700.700792925,537.274225871,639.2892614453334,homopoly
21884879,,C=CC(=O)OC1=CC=CC=C1C(=O)C2=CC=CC=C2,,1,322.046731913,255.6151217,281.984029462,286.5486276916667,homopoly
69736699,,C=CC(=O)OC1=NC2=C(C=CC=C2O)C=C1,,2,413.599304299,350.66328196,743.026128443,502.42957156733337,homopoly
146013805,,C=CC(=O)OC(C#N)(C(F)(F)Cl)C(F)(Cl)Cl,,0,96.6844116995,83.6000232787,86.2938497328,88.85942823700002,monomer
174625,,CCC1(COC(OC1)C(C)(C)COC(=O)C=C)COC(=O)C=C,,0,133.445552926,186.365014248,145.651222782,155.15392998533332,monomer
164577025,,CC1(CC(=CC(=C(C#N)C#N)C1)/C=C/C2=CC3=C(C=C(C=C3)OC(=O)C=C)OC2=O)C,,0,402.25054468,399.861246873,324.282588899,375.46479348400004,monomer
6538148,,C/C=C/COC(=O)C=C,,2,229.147694016,274.787465411,252.925375687,252.28684503800002,homopoly
129866931,,C=CC(=O)OC(O)(OC(=O)C=C)C(O)CO,,0,94.6498920961,104.17537803,68.2506341086,89.02530141156667,monomer
10034607,,C=CC(=O)OCC#N,,2,191.731092073,179.709710261,182.048844726,184.49654902,homopoly
58165347,,CC(COC(C)COC(C)COC(=O)C=C)OC,,1,256.330818548,230.547975895,233.915809031,240.26486782466668,homopoly
543579,,CCCCCCCCCCCCCCCOC(=O)C=C,,2,683.311048957,599.333115153,580.401063836,621.015075982,homopoly
