id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type
11105675,3019605,CCOC(=O)/C=C/C(=O)Cl,C=CC(=O)OCC1=C(C=CC=C1Cl)[N+](=O)[O-],1,191.288728606,140.609537406,183.85483683,171.91770094733337,copoly
18718363,85078003,C=CC(=O)OCCN1C(=O)C=CC1=O,COC(=O)C=CNC=CC(=O)C(F)(F)F,1,140.388035188,205.451273353,158.101118093,167.98014221133334,copoly
16213776,102480740,COC(=O)C=C.C=CC#N,[2H]C(=C([2H])[13C](=O)OCC(C(F)F)(F)F)[2H],1,147.406177412,157.507512985,113.120489746,139.34472671433332,copoly
86736826,11815329,CCC(C)(N)OOC(=O)C=C,COC(=O)C(=C)CO,1,109.813907591,124.553044228,125.559523684,119.97549183433334,copoly
90486,2496930,CCOC(=O)C=CC1=CC2=C(C=C1)OCO2,CC1=C(C(=CC=C1)C)OC(=O)/C=C/C2=CC=CO2,1,189.998531937,281.836306503,255.54073413,242.45852419000002,copoly
57473437,958750,COC1=CC=CC(=C1)C(=C)C(=O)OC,COC(=O)C=CC1=CC=C(C=C1)F,1,226.38601929,225.425812567,112.907692568,188.23984147500002,copoly
11378874,167712969,C=CC(=O)OCOP(=O)(O)O,CC1=C(C=C(C=C1)/C=C/C(=O)OC)C=O,1,197.937029198,130.309260617,179.905038507,169.38377610733335,copoly
958750,91685569,COC(=O)C=CC1=CC=C(C=C1)F,CCOC(=O)/C=C/C1=CC(=CC=C1)OCC2=CC=C(C=C2)[N+](=O)[O-],1,244.468620354,168.502775079,321.628932647,244.86677602666668,copoly
11030960,53337296,CC(C)(C)OC(=O)/C=C/C1=CN=CC=C1,CCOC(=O)/C(=C\NC1=CC=C(C=C1)C)/S(=O)(=O)C2=C(C=C(C(=C2)F)F)F,1,300.34005484,210.559499156,380.089440133,296.99633137633333,copoly
53739964,137701025,COC(=O)C(=CN1CCCC1)C(=O)C2=CC(=C(C=C2Cl)Cl)F,CC1=COC2=CC(=C(C=C2C1=O)OC)O/C(=C\N(C)C)/C(=O)OC,1,387.659106955,362.35798269,282.87716376,344.29808446833334,copoly
13369430,53413490,CCOC(=O)/C=C/C1=CC(=NC=C1)C,CCOC(=O)C=CC1=CC(=NC=C1)Cl,1,170.344727161,202.828293584,221.920393303,198.36447134933334,copoly
53967443,170903583,CCCCC(CC)CC1=C(OC=C1)OC(=O)C=C,COC(=O)/C=C/C1=CC(=C(C=C1)C=O)O,1,303.909006271,232.662850567,195.305974198,243.95927701200003,copoly
53409211,138393145,CCOC(=O)C=CC1=C(N=CC=C1)Cl,CCOC(=O)C=CC1=CC(=C(C(=C1)F)I)F,1,183.752249698,183.064831976,275.85130793,214.22279653466668,copoly
20669687,23023397,CN(C)CC(=C)C(=O)OC,C=CC(=O)OCCC=O,1,118.890075562,134.323675037,107.70889707,120.30754922299998,copoly
132494002,91685607,CC1(COC2=C1C=C(C=C2)/C=C/C(=O)OC)CI,COC1=C(C=C(C=C1)/C=C/C(=O)OC)OCC2=CC=C(C=C2)F,1,301.132393053,347.157372329,255.288912498,301.19289262666666,copoly
15746738,123915633,CCOC(=O)C(=C(C)C)N,COC(=O)C=CC1=C(C=C(C=N1)Cl)N,1,222.591129598,112.536561037,168.196484776,167.77472513700002,copoly
958750,53724509,COC(=O)C=CC1=CC=C(C=C1)F,CCOC(=O)C=CC1=CN(N=C1)C,1,149.465150685,175.145458027,180.993800802,168.53480317133332,copoly
129824056,5371085,C=CC(=O)OC1=CC2=C(C=C1)C=C2,COC(=O)/C=C/C1=CN=CN1,1,106.170098257,185.461102515,217.507281171,169.71282731433334,copoly
46318141,139075710,COC(=O)/C=C/C1=C(N=C(C=C1)N2CCCC2)F,CCOC(=O)/C(=C\OC1=C(C=C(C=C1)F)F)/C2=CC=C(C=C2)Cl,1,395.463859114,210.908427259,295.008190336,300.460158903,copoly
1714290,91685569,CCOC(=O)C(=C(SC)SC)N1C(=C(C(=N1)C)C=O)Cl,CCOC(=O)/C=C/C1=CC(=CC=C1)OCC2=CC=C(C=C2)[N+](=O)[O-],1,298.870631505,374.346869797,299.893719879,324.3704070603333,copoly
36484045,75527606,COC1=C(C=CC(=C1)/C=C/C(=O)OC)OCC2=CC=CC=C2F,COC(=O)/C(=C/NC1=C(C=C(C=C1)F)F)/S(=O)(=O)C2=CC=C(C=C2)Cl,1,368.613051701,284.086561063,409.888304246,354.19597233666667,copoly
6537093,129762066,CCCOC(=O)/C=C/C1=CC=CO1,C=CCC1=NN=NN1OC(=O)C=C,1,135.904091725,192.616018208,172.647798265,167.05596939933335,copoly
18914447,66725972,COC1=C(C=C(C=C1)/C=C/C(=O)OC)C=O,CCOC(=O)C(=CN(C)C)N1C=C(N=N1)C#N,1,272.90483878,256.645024859,148.385818867,225.97856083533335,copoly
22010502,5386768,CC(C)(C)OC(=O)/C=C/C1=CC(=CC=C1)C=O,COC(=O)/C(=C/SC1=CC=CC=C1)/C#N,1,250.067872962,183.68505856,263.616920559,232.45661736033333,copoly
110651,129875951,CCC(COC(=O)C=C)[N+](=O)[O-],COCCCN1CC2=C(C1/C=C/C(=O)OC)C(=CC=C2)[N+](=O)[O-],1,231.030742522,261.861967683,196.745742911,229.87948437199998,copoly
91620045,155289842,COC(=O)C(=C)C1=CC(=C(C=C1)Cl)Cl,C1=CC(=CC(=C1)Cl)C(=N/C=C/C(=O)[O-])N,1,288.224554617,174.85278404,327.427477239,263.5016052986667,copoly
53436938,91687047,COC(=O)C=CC1=CC=C(O1)C(=O)OC,C=CCOC(=O)/C=C/C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],1,255.375564181,194.49975905,269.985828127,239.9537171193333,copoly
129846645,86671497,CN(C)C(=[N+](C)C)N.C=CC(=O)[O-],CCOC(=O)/C=C/C1=CSC=C1C2=C(C=C(C=C2)C#N)C,1,170.70702196,340.523123401,257.545901711,256.2586823573333,copoly
10965668,5072272,CC1=CC=CC=C1/C(=C\OC)/C(=O)OC,C=CC(=O)OC1=CC2=C(C=C1)C3(C4=C(O2)C=C(C=C4)O)C5=CC=CC=C5C(=O)O3,1,345.39703035,258.317107783,416.380724039,340.031620724,copoly
67272952,131700034,CCOC(=O)/C=C/C1=CC=C(C=C1)C2=CC(=CC=C2)NC,COC(=O)C(=C)C1=CC(=CC=C1)I,1,268.350612447,186.385919912,396.188769385,283.641767248,copoly
5467926,21107276,COC(=O)/C(=C\C1=CC=CO1)/P(=O)(OC)OC,CCOC(=O)/C=C/C1=CC=C(C=C1)I,1,216.645697004,237.028291402,224.157516555,225.94383498700003,copoly
91675624,73166977,CC1=C(C=CC(=C1)C2=CC=C(O2)/C=C/C(=O)OC)Br,CCOC(=O)C(=CC1=CC=C(S1)Br)N=[N+]=[N-],1,389.810496107,176.012733719,277.499936306,281.107722044,copoly
21160503,5373059,COC(=O)C(=C)C1=CC=C(C=C1)I,CCOC(=O)/C=C/C1=CC=C(C=C1)F,1,147.833628987,233.84585351,233.268200964,204.98256115366667,copoly
13546469,8588166,CCOC(=O)/C=C/C1=C(C=CN=C1)N,C1=COC(=C1)C2=CC(=NO2)COC(=O)/C=C/C3=CC=CS3,1,178.389904369,215.892437505,334.454672647,242.91233817366665,copoly
