id,smiles,chain_size,xx,yy,zz,static_polarizability
69031975,CCOC(=O)C(=CN[C@H](CO)C(C)C)C(=O)C1=CC(=C(C=C1OC)OC)Br,2,697.241533678,845.946174769,900.568075938,814.5852614616666
91675614,C=CCOC(=O)/C=C/C1=CC=C(O1)C2=C(C=C(C=C2)F)Br,2,777.664392379,535.540966731,623.969972128,645.7251104126667
86725448,CCOC(=O)/C(=C\N(C)C)/C(=O)C1=C(C=CC=N1)Cl,0,195.577515195,156.046098191,103.083110842,151.56890807599999
54264503,CN1C=C(C=N1)C=CC(=O)OC,1,151.299091848,203.90411096,111.766641444,155.65661475066668
91685099,COC1=C(C=CC(=C1)/C=C/C(=O)OCC#C)OCC2=CC=C(C=C2)F,2,597.502672261,732.755091942,888.809002638,739.6889222803334
53657281,CCOC(=O)C=CC1=CC2=CC=CC=C2N=C1,2,604.140497993,389.38843265,589.819809069,527.7829132373334
175363,CC(C)OC(=O)C=CC1=CC=CO1,0,144.385847654,37.5101578629,113.23007799,98.37536116896666
1644018,COC1=CC=C(C=C1)/C=C/C(=O)OCC(=O)NCCC2=CC(=C(C=C2)OC)OC,1,390.031869312,497.374725101,376.270978828,421.225857747
9942853,CC(COC(C)COC(=O)C=C)OC(=O)C=C,1,207.721980157,219.743241153,239.815548631,222.42692331366666
131748447,CCOC(=O)/C=C/C1=C(C=C(C=C1)Cl)CC2=NN=C(O2)C,2,572.075851097,637.217674221,640.910821207,616.7347821750001
137240400,CCOC(=O)C(=CC1=CC(=O)C2=C(O1)C=CC(=C2)C)O,1,197.390138492,269.096067405,357.032299686,274.50616852766666
68295138,CCOC(=O)/C=C/C1=CC(=NC=C1)C(F)(F)F,2,409.458085415,453.499643142,297.606308708,386.85467908833334
6477095,CCOC(=O)/C(=C/C1=CC(=CC=C1)C#N)/C(=O)C,1,265.741359452,294.540742447,209.41243187,256.5648445896667
54105512,COC1=CC=CC(=C1)C=CC(=O)OC,2,420.416855218,265.05953286,490.854029824,392.11013930066673
139085829,CCOC(=O)/C(=C/C1=NC=CN1)/C#N,2,369.035768028,317.282065485,350.780899202,345.6995775716667
738014,CCOC(=O)/C=C(\N)/N1CCN(CC1)C2=NC(=CC=C2)Cl,0,159.443389761,77.0972308818,265.606925669,167.38251543726668
146015109,CC1=CC(=C(C=C1)C(C)C)OC(=O)C=CC2=CC3=C(C=C2)OCO3,1,265.121859999,416.861748372,418.232068517,366.7385589626667
20716711,COC(=O)/C=C/C1=CC=C(C=C1)OCCO,2,494.65356128,399.27835284,426.487837967,440.1399173623334
5388453,CCOC(=O)/C(=C/C1=CC=C(C=C1)C#N)/C#N,0,222.332407619,27.2831536184,186.289011782,145.3015243398
20963,C=CC(=O)OCCBr,0,29.7514627705,70.9949359973,66.0835698507,55.6099895395
86603719,CCOC(=O)/C=C/C1=CN=C(C=C1)N([C@@H]2CCN(C2)CC3=CC(=C(C=C3)C)C)C(=O)OC(C)(C)C,0,226.810534068,409.25288579,263.586501461,299.88330710633335
67451183,CCOC(=O)/C=C/C1=CC(=C(C=C1)F)Cl,1,208.251655375,122.839499761,292.737660312,207.94293848266668
11535877,CCCCOC(=O)/C=C/C1=CC=CC=C1C,2,416.68234145,555.371609873,456.909032464,476.3209945956667
21932355,CC(C(C(C(OC(=O)C=C)(F)F)(F)F)(F)F)(F)F,2,289.455432133,280.318613584,301.277604554,290.35055009033334
13205977,COC(=O)/C=C/C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,1,295.009615481,258.521303299,270.759006686,274.7633084886667
91684652,CC1=CC=C(C=C1)COC2=C(C=C(C=C2)/C=C/C(=O)OCC=C)I,2,873.118115046,771.457162683,755.930100249,800.1684593260001
91684606,C=CCOC(=O)/C=C/C1=CC(=C(C=C1)OCC2=CN=CC=C2)Br,0,165.023946725,175.976746956,262.784926379,201.26187335333336
139075630,CCOC(=O)/C(=C\NC1=C(C=C(C=C1)F)F)/C2=CC=C(C=C2)OC,0,287.157849946,167.028944158,188.309858401,214.165550835
164510968,CCCN1C(=O)C2=C(C1=O)C=C(C=C2)C(=C)C(=O)OC(C)(C)C,1,329.011428577,331.930593816,370.268941708,343.73698803366665
53486922,COC(=O)/C=C/C1=CC(=C(C=C1)N)N,2,421.901228716,401.234100202,374.347234762,399.16085455999996
10154104,C=CC(=O)OCCOC=C,2,242.629804949,233.110774637,317.515523247,264.4187009443333
71587283,CCCCOC(=O)/C=C/SC,1,168.663700727,162.863634832,163.970592729,165.165976096
101914225,CC(C)(C)OC(=O)/C=C/[C@H]1CO1,1,174.987772547,146.688956738,151.80937083,157.82870003833332
24975731,CCOC(=O)C(=C)C1CCC2(CC1)OCCO2,2,454.833619714,487.434326875,436.970520588,459.7461557256667
67955390,CC1=CC(=C(C=C1OCC2=CC=CC=C2/C(=C\OC)/C(=O)OC)C)C(=O)COC,2,949.494633984,899.352210224,870.616620409,906.4878215389999
6442291,C1=CC(=CC=C1/C=C/C(=O)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O,0,379.224170134,399.203822964,235.135104017,337.854365705
6019481,COC(=O)/C=C/C1=CC=C(O1)[N+](=O)[O-],1,172.425119286,170.04110065,168.666080346,170.37743342733333
77179230,CCOC(=O)C=CC1=C2C(=CN=C1)C=CC=N2,2,525.611043332,395.343820569,560.428068255,493.7943107186666
75527596,COC(=O)/C(=C/NC1=CC=C(C=C1)Cl)/S(=O)(=O)C2=CC=CC=C2,1,354.834983647,317.078704622,434.888840125,368.93417613133334
10634150,COC(=O)/C=C/C1=CN=C(C=C1)N2CCCC2=O,1,196.00660393,291.361060173,293.462885122,260.2768497416667
15621063,C=CC(=O)OCC1=CC=C(C=C1)CC2=CC=CC=C2,2,622.61602466,561.435508471,554.292528989,579.4480207066666
135743668,CCOC(=O)/C(=C(\C1=CC(=C(C(=C1Cl)C#N)Cl)F)/O)/C=NC2CC2,2,702.192058175,652.630462713,848.916535063,734.579685317
117719453,COC(=O)/C=C/C1=CC(=C(C(=C1)F)C=O)F,1,228.871962672,166.736230545,207.115701403,200.90796487333333
