id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
22065604,3664250,C=CC(=O)OCCCOC,C=CC(=O)Oc1ccc2ccccc2c1,1,275.145905786,202.085176274,87.023891706,0.7711399904291754,copoly,188.0849912553333
82699,251817,C=CC(=O)OCc1ccco1,C=CC(=O)Oc1ccccc1C,1,160.953292083,166.4949551,146.825275321,0.5714655212704045,copoly,158.091174168
54438140,12191274,C=CC(=O)OCCC1NCCO1,C=CC(=O)Oc1ccc(C=O)cc1OC,1,240.017375339,155.626739787,152.287637088,0.7349177407027694,copoly,182.64391740466667
19986209,16205176,C=CC(=O)Oc1nn[nH]n1,C=CC(=O)OC(C)(C)C(=O)OC,1,129.888988705,113.660689294,133.8974169,0.3566016214175981,copoly,125.81569829966666
19028358,21646008,C=CC(=O)OCC(C)Cl,C=CC(=O)OOCCC,1,126.578054569,92.7840161536,148.442857742,0.33520505093193853,copoly,122.60164282153336
21646008,57119052,C=CC(=O)OOCCC,C=CC(=O)OS(C)(=O)=O,1,109.030261131,118.265095737,128.595142337,0.30876618709528625,copoly,118.63016640166666
82699,11816169,C=CC(=O)OCc1ccco1,C=CC(=O)OC(C)c1ccccc1,1,179.152010013,207.874776483,114.538922463,0.6320285902824478,copoly,167.188569653
21646008,169613,C=CC(=O)OOCCC,C=CC(=O)Oc1cccc2cccnc12,1,114.481664588,231.007071081,191.490689373,0.7106138415829979,copoly,178.99314168066667
181750,21496309,C=CC(=O)OCC(Cl)(Cl)Cl,C=CC(=O)OCc1cccs1,1,180.438384474,136.074240628,131.357919899,0.5128756625474998,copoly,149.29018166699998
54550688,169613,C=CC(=O)OCC(C#N)CC,C=CC(=O)Oc1cccc2cccnc12,1,218.223849308,174.022424337,175.065489902,0.7779231981713344,copoly,189.10392118233327
124202873,129858029,CO[13C](=O)[13CH]=[13CH2],C=CC(=O)ON=[N+]=[N-],1,102.33228611,76.4498219693,74.9595337974,0.08209148274077915,copoly,84.58054729223333
57045534,69736699,C=CC(=O)OCCC(Cl)Cl,C=CC(=O)Oc1ccc2cccc(O)c2n1,1,108.778514045,181.548150408,287.38033754,0.8009908825593111,copoly,192.5690006643333
