y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90,run_91,run_92,run_93,run_94,run_95,run_96,run_97,run_98,run_99
0.0,0.06394785,0.07175809,0.010725513,0.007334918,0.023438618,0.0610637,0.05869545,0.039157405,0.016606405,0.035709843,0.09697083,0.05939118,0.023627467,0.032285288,0.103754655,0.13086364,0.089118876,0.06064418,0.014848076,0.07683674,0.06768368,0.020816192,0.034808017,0.014482133,0.03810472,0.018823326,0.10414718,0.074948594,0.0051283836,0.10680647,0.038281903,0.06618229,0.009921297,0.024818137,0.07432479,0.038146064,0.032353133,0.042839482,0.053361908,0.019857295,0.07101538,0.032346442,0.051243722,0.028023034,0.11099382,0.009228185,0.03244658,0.013525084,0.03563457,0.030744523,0.06881436,0.011017665,0.04578182,0.10659535,0.017386906,0.014494851,0.04273255,0.062247083,0.0697574,0.13259497,0.0535098,0.122715086,0.050273083,0.052063987,0.029161707,0.030161895,0.091237105,0.027183786,0.05301398,0.030683532,0.010043085,0.034583777,0.017414182,0.04290714,0.006360717,0.10832166,0.04147777,0.047942176,0.0073905066,0.04380901,0.026872806,0.04601443,0.041883573,0.083474495,0.03734742,0.021495879,0.023383975,0.061804794,0.04891984,0.009383649,0.0042456836,0.060491517,0.016808033,0.058790676,0.025204882,0.04176472,0.013683647,0.060818464,0.005990915,0.008303992
0.056403916,0.08495272,0.0666738,0.11270234,0.11489223,0.077025615,0.10295777,0.047209263,0.04876603,0.09866143,0.14667124,0.067035675,0.06072191,0.10014021,0.10731854,0.1053502,0.085987285,0.13427792,0.06389089,0.096730396,0.0834464,0.06681713,0.079689264,0.14408109,0.09940162,0.021497011,0.05968748,0.07608637,0.11063816,0.08921006,0.1425004,0.15736833,0.06983255,0.09351787,0.104992375,0.004660666,0.1490337,0.09502956,0.07680498,0.068607785,0.052128933,0.108835965,0.039308667,0.052820817,0.06699099,0.115396574,0.11222795,0.10816545,0.11715712,0.10954314,0.09817323,0.07785058,0.08569053,0.088019416,0.049804684,0.0150709525,0.07363734,0.06496146,0.03650637,0.061247855,0.08633456,0.015036285,0.12568854,0.07424426,0.11188267,0.11265071,0.16768411,0.09736772,0.103662364,0.048485473,0.16751868,0.10316389,0.07814929,0.073819324,0.0435393,0.035740644,0.13260452,0.12812483,0.08609469,0.13524394,0.0996497,0.09175579,0.024837151,0.1375972,0.05913362,0.13134333,0.077356115,0.07880913,0.05952044,0.15656804,0.021685772,0.13620363,0.07934545,0.056347147,0.035189345,0.10450019,0.096467115,0.07070826,0.03851922,0.1244802,0.073205486
0.06114767,0.07352172,0.15143532,0.09523069,0.1067545,0.01803331,0.09265038,0.09020351,0.06614543,0.11833356,0.0121368915,0.067229085,0.09664095,0.037766054,0.13371183,0.102600545,0.05587119,0.07993218,0.002867721,0.11508669,0.124501646,0.07759543,0.13604751,0.005989425,0.14691022,0.030299857,0.060293764,0.09394756,0.082856625,0.06359406,0.0018447712,0.13142693,0.13357449,0.0756717,0.019348606,0.045726113,0.08015582,0.02770555,0.03739529,0.096962355,0.067481175,0.12638076,0.05956439,0.12317147,0.05175808,0.065866575,0.060479715,0.048514172,0.097832546,0.06748787,0.06969235,0.06368522,0.078731865,0.02191101,0.028831057,0.08177693,0.073399454,0.13636813,0.061079144,0.072992235,0.07931527,0.044101313,0.068698704,0.09591654,0.1217275,0.033747032,0.048031747,0.10363701,0.0908353,0.057769075,0.11841539,0.07764529,7.0005655e-05,0.12015818,0.0628055,0.046756268,0.12812734,0.08736475,0.110873,0.014409274,0.07621763,0.06364523,0.068798825,0.03742534,0.14014465,0.022025928,0.08862299,0.08158752,0.12433137,0.09620361,0.055072505,0.07405391,0.0999906,0.0835008,0.042565525,0.049942814,0.06117353,0.019730642,0.0585984,0.11599042,0.009132266
0.07833544,0.07113291,0.0829749,0.09434697,0.1032666,0.14472492,0.1643469,0.07011996,0.111015104,0.11765921,0.10672233,0.08849794,0.05976409,0.099752,0.15466264,0.1209205,0.1307025,0.12522276,0.12688272,0.0072138608,0.097874306,0.03427099,0.18087646,0.053066254,0.08227884,0.13302426,0.0866603,0.12504403,0.062373135,0.100766174,0.053370036,0.11278003,0.090627044,0.106099136,0.02716469,0.10541515,0.08633657,0.051504895,0.10929452,0.13390356,0.15175566,0.073189914,0.10738786,0.111141786,0.087922186,0.029223353,0.13928579,0.15957099,0.11629067,0.17698732,0.13472687,0.09989624,0.10577084,0.18915394,0.04506293,0.1388261,0.0719417,0.113637656,0.000845246,0.13842925,0.09201967,0.14642799,0.09305929,0.07750897,0.06550991,0.14059357,0.095785014,0.09718145,0.09705795,0.06801149,0.05682507,0.122740306,0.09487593,0.07397954,0.1480324,0.13044077,0.15559272,0.06724697,0.10025996,0.09006857,0.11644016,0.04496093,0.07617985,0.045073286,0.05729562,0.091671824,0.13939273,0.13709834,0.078662604,0.1084913,0.14431058,0.07844764,0.112828776,0.1144554,0.06025488,0.03496241,0.10354799,0.09449717,0.13443884,0.12235089,0.08704607
0.10432452,0.13187245,0.16275047,0.15850297,0.0940422,0.14857064,0.13884047,0.13003601,0.11749211,0.13970055,0.12926225,0.13461113,0.13154963,0.13778958,0.12798402,0.179467,0.22003743,0.112453714,0.12443842,0.14012916,0.18818316,0.1442164,0.17035997,0.15329519,0.12869535,0.20352478,0.17353106,0.17884618,0.15699229,0.13091223,0.15130155,0.19446054,0.13009138,0.1629233,0.17055434,0.17312619,0.21760003,0.09091295,0.14045995,0.1327274,0.20192105,0.116513625,0.12557134,0.15866806,0.13369799,0.14440402,0.15165547,0.17970201,0.09482278,0.17687027,0.15866193,0.1745857,0.19591558,0.21271348,0.10230653,0.14619747,0.14245847,0.1546055,0.15917352,0.08881253,0.15171394,0.14339253,0.13924704,0.18594721,0.1749974,0.124583974,0.13656704,0.14905475,0.11744343,0.14642559,0.14250275,0.16998534,0.15907897,0.14064126,0.13926902,0.10887952,0.13526656,0.1449517,0.18918215,0.17322074,0.16158715,0.14946164,0.14987734,0.1745137,0.17172869,0.13656658,0.13335446,0.12602368,0.11210706,0.104951754,0.16977635,0.16623282,0.16059873,0.07535089,0.16992864,0.16347404,0.18846641,0.12099665,0.073418096,0.124495596,0.13888335
0.11613122,0.16424319,0.11930406,0.118767045,0.13454996,0.1671991,0.16066375,0.062032312,0.10914783,0.20633131,0.08101639,0.10853364,0.13257854,0.17479041,0.14213976,0.16479082,0.11270841,0.07788115,0.14686191,0.092427835,0.15370117,0.19742545,0.12453863,0.10275977,0.12664863,0.1595449,0.116358705,0.19040981,0.15126693,0.118389115,0.17645174,0.10158415,0.09971349,0.16027644,0.082092285,0.14530715,0.08591391,0.11939983,0.16486281,0.11431791,0.107718736,0.16744423,0.1844032,0.14715393,0.14546177,0.1084418,0.131221,0.19187146,0.112403795,0.14619951,0.11100946,0.093865186,0.12881283,0.1317933,0.12809423,0.13004413,0.08061013,0.15229836,0.0843233,0.152253,0.11739542,0.11154656,0.10374011,0.13607612,0.1375623,0.09138061,0.1378456,0.104746416,0.1326223,0.1410847,0.17001888,0.18548721,0.119574204,0.15047061,0.12376243,0.1321505,0.102837175,0.12026699,0.17980841,0.17600392,0.16877918,0.11589719,0.13671663,0.141871,0.18621041,0.12765841,0.14392865,0.14086851,0.1467557,0.109287724,0.12239842,0.14189558,0.112756796,0.1631006,0.08840466,0.2023882,0.13422877,0.122564405,0.09918726,0.11671114,0.12646875
0.119501896,0.17059833,0.12870754,0.16486253,0.12492279,0.17796582,0.1887781,0.120228805,0.15238833,0.13620147,0.16215023,0.13103473,0.15505637,0.11047341,0.17525676,0.16460252,0.091881976,0.18607369,0.09825081,0.16069645,0.15408432,0.2024521,0.15629297,0.15493238,0.09983511,0.13393465,0.16694981,0.09619461,0.1619029,0.18710554,0.16118295,0.13757917,0.18063661,0.13707942,0.12447558,0.1480009,0.13516434,0.15411094,0.11728655,0.10692078,0.13687608,0.13924481,0.18640368,0.113451146,0.11698822,0.14560893,0.115810156,0.16196609,0.19263384,0.16290429,0.17034735,0.178036,0.16558409,0.15893023,0.15672398,0.15818158,0.17322679,0.16428658,0.1532921,0.12961449,0.16848415,0.16219056,0.123050824,0.13406515,0.15836106,0.13647681,0.093399286,0.1911006,0.17505339,0.14557728,0.18672815,0.13302265,0.13457157,0.15805252,0.14343011,0.1837852,0.1636181,0.16393292,0.12532263,0.10268283,0.14937192,0.13491471,0.1752413,0.14733343,0.13437423,0.119437985,0.13978155,0.12449169,0.20794168,0.13429964,0.13927095,0.12764853,0.19534981,0.13311687,0.16641334,0.19724628,0.13839357,0.16872033,0.12445985,0.12957498,0.16899708
0.13530777,0.1672408,0.16479546,0.15608308,0.19184288,0.14208125,0.11978784,0.13860896,0.17016035,0.16435215,0.1928649,0.15764533,0.11626989,0.15134452,0.15176515,0.16642237,0.15895598,0.17462914,0.15243357,0.17528297,0.18370052,0.1185655,0.14623247,0.12676817,0.10029438,0.13617931,0.15521498,0.1606652,0.1508119,0.18762739,0.1316169,0.12641318,0.15595898,0.14316824,0.14823106,0.15368013,0.14544757,0.07556652,0.17996593,0.174356,0.13961571,0.093902305,0.16284415,0.18146636,0.10145934,0.10390437,0.10728526,0.16314957,0.10961815,0.100969605,0.1463613,0.132725,0.13319497,0.15729327,0.1252576,0.09168102,0.18656337,0.17635567,0.10993344,0.15146956,0.13830903,0.14897689,0.102077514,0.17628534,0.17817625,0.15839529,0.1765045,0.14871015,0.13989499,0.16159081,0.13997146,0.11505653,0.18313281,0.19768739,0.19151567,0.101022646,0.069544435,0.16180313,0.13291523,0.10495313,0.13297367,0.14801908,0.16950426,0.15611154,0.14315483,0.1573692,0.106288105,0.10424033,0.14885587,0.14355133,0.15193564,0.16942465,0.16370413,0.17556027,0.09519006,0.15576111,0.17992905,0.1712052,0.14115442,0.11265403,0.12104369
0.13885829,0.13062191,0.15873279,0.1205735,0.106740095,0.10443879,0.13081895,0.15167947,0.18830289,0.11379142,0.12729736,0.06412587,0.08123365,0.11949487,0.1645579,0.12877141,0.14880586,0.1822893,0.19925897,0.10384594,0.17563227,0.13826737,0.13908893,0.16035494,0.11635134,0.104690105,0.19496419,0.1227064,0.10880639,0.18861039,0.093376,0.1578249,0.11252427,0.14370199,0.15980256,0.15261877,0.16204289,0.17834058,0.15030232,0.14637254,0.08199397,0.08309835,0.17727093,0.09354549,0.14463165,0.15533447,0.22006361,0.12984571,0.10482782,0.18157515,0.07273645,0.18477821,0.12949297,0.09504682,0.13323256,0.16599351,0.0712502,0.15227932,0.16915812,0.13515061,0.08938077,0.11375041,0.15052615,0.12785487,0.18748166,0.16145574,0.18173571,0.18406884,0.15890858,0.17941129,0.109891415,0.14534354,0.113725565,0.09664351,0.16980931,0.18294957,0.12112626,0.12317392,0.15592305,0.1317119,0.2000342,0.12101459,0.107150085,0.13431887,0.11224598,0.18224195,0.16335145,0.14148463,0.118498266,0.13640091,0.15854982,0.11189775,0.1698795,0.17508188,0.067618094,0.12654334,0.102625564,0.15569514,0.063718334,0.17950004,0.10024412
0.1399519,0.20694597,0.17597571,0.13253054,0.09215696,0.14179274,0.16148458,0.15039079,0.17347847,0.12183036,0.14860173,0.19593747,0.12507331,0.09633362,0.12628631,0.1810776,0.15290998,0.18729545,0.14775315,0.18197227,0.19843912,0.1521655,0.1522303,0.14978914,0.16239637,0.1603337,0.08757129,0.17397305,0.15663165,0.18402638,0.17733517,0.13302073,0.1657276,0.16765922,0.21743639,0.16617183,0.1862173,0.14689468,0.15679394,0.15424386,0.10945972,0.17214763,0.18004832,0.16007075,0.13252768,0.14358719,0.15591155,0.16952564,0.15115558,0.20622902,0.192512,0.16335312,0.19479781,0.19654392,0.1857791,0.21277702,0.15332481,0.1709212,0.15466869,0.1829012,0.11584269,0.17071795,0.18443587,0.21103501,0.14945798,0.1918079,0.15161091,0.13026688,0.13939631,0.17719337,0.13390642,0.17340454,0.18386534,0.10677776,0.11399529,0.14015701,0.12850156,0.15386498,0.16714266,0.12725702,0.09681883,0.14081155,0.16684997,0.15670682,0.15953365,0.1642316,0.20740676,0.15472983,0.1600888,0.16527422,0.13634431,0.16355072,0.1518003,0.15746251,0.15801373,0.13871145,0.16556579,0.13609837,0.16470414,0.079011574,0.18465854
0.14446723,0.12912029,0.1434091,0.16496757,0.16456789,0.1503864,0.122162014,0.14598422,0.14026836,0.12901205,0.17149937,0.17621781,0.1756158,0.10152541,0.19318627,0.15731116,0.17447957,0.11154863,0.14700115,0.14493322,0.21065561,0.13180718,0.18561742,0.17165835,0.14370057,0.14643404,0.14250585,0.1501745,0.1395585,0.1635784,0.15326315,0.14671561,0.16001415,0.15508574,0.16819692,0.15153545,0.15850079,0.15898953,0.11139371,0.11367005,0.18365787,0.15562926,0.11125537,0.120142356,0.18718237,0.14934509,0.15455142,0.15594774,0.19156462,0.17710334,0.15110585,0.1636132,0.21587402,0.13672633,0.074624896,0.20607093,0.16364513,0.20219973,0.15787178,0.15151006,0.14964211,0.120088995,0.16521665,0.2174607,0.12839712,0.19525456,0.2035746,0.2253498,0.12064657,0.18206532,0.19385542,0.14676645,0.17252772,0.19326976,0.14588928,0.14049062,0.1719282,0.104770795,0.22617032,0.18450052,0.20349064,0.12960301,0.19279128,0.1627993,0.12287185,0.1764642,0.15499867,0.13774794,0.11864734,0.14662184,0.20211267,0.21583802,0.10876964,0.18605685,0.1354036,0.1875352,0.10213075,0.15643036,0.17204075,0.13504232,0.16891755
0.15082055,0.14476353,0.15942249,0.18331048,0.13171469,0.14694631,0.1689576,0.16509466,0.16126108,0.17480648,0.10866796,0.18195179,0.14583692,0.11774753,0.17973182,0.18601647,0.13834344,0.16167875,0.07921735,0.15571624,0.13469526,0.1512651,0.1633243,0.14569172,0.17029801,0.2194918,0.15708119,0.10101907,0.13018148,0.18082263,0.10171947,0.13981673,0.16368154,0.15178633,0.15101658,0.19772977,0.16811338,0.15081146,0.08550833,0.12021524,0.11618852,0.16954279,0.17698318,0.18983743,0.15318918,0.10646276,0.14930674,0.15251791,0.14114526,0.17313978,0.17892209,0.17615677,0.14470336,0.18730427,0.1692656,0.13770984,0.16685508,0.11305062,0.11942189,0.16866596,0.19667475,0.13815847,0.18728644,0.1198896,0.1269188,0.14066425,0.2214163,0.15026012,0.16944803,0.16016714,0.17385471,0.10072898,0.14715092,0.15764031,0.17206523,0.13238892,0.20296612,0.20199841,0.14179686,0.18112937,0.16915858,0.087997854,0.17771307,0.19040795,0.18105812,0.110594526,0.14979756,0.10732782,0.11493081,0.14113563,0.16192965,0.13936354,0.090259425,0.09069462,0.17294313,0.16726567,0.12682277,0.1314729,0.13249099,0.1568799,0.16824335
0.1512833,0.10682332,0.15022512,0.068322755,0.1274588,0.16477503,0.17994589,0.1796789,0.11615047,0.22050995,0.1233071,0.063491166,0.119453475,0.13206327,0.17294139,0.14965808,0.15242717,0.16542152,0.18920961,0.1814091,0.13130872,0.12420668,0.15379292,0.081378125,0.18836284,0.1166504,0.14651862,0.1377438,0.14867252,0.12939966,0.12377145,0.07798579,0.1847899,0.07716993,0.14870875,0.16125175,0.16686594,0.19242814,0.13996002,0.14406455,0.13300252,0.17107928,0.17515908,0.11815647,0.11916871,0.14748076,0.085321054,0.100948915,0.15434057,0.13354541,0.07405417,0.15739024,0.13195114,0.1240363,0.13441586,0.16115071,0.1908067,0.10543373,0.08888504,0.13908738,0.18462534,0.18157327,0.12221276,0.09745252,0.17082274,0.11349314,0.1710803,0.15664312,0.14901334,0.13530841,0.14779861,0.112402335,0.12812203,0.18117091,0.14916262,0.1494745,0.127231,0.097037986,0.14170566,0.12871358,0.12116371,0.14547093,0.14857838,0.15168226,0.07598816,0.15611944,0.14274536,0.072166845,0.110666364,0.15384685,0.14171389,0.16546881,0.12725787,0.13961083,0.12907265,0.1491177,0.104872935,0.0905022,0.15637684,0.11728805,0.120736465
0.16380547,0.1727007,0.17654373,0.20067188,0.22013165,0.20708883,0.1975256,0.18168737,0.24987204,0.2049546,0.20182629,0.105531156,0.16687518,0.19599885,0.18038367,0.16773143,0.21737619,0.17308974,0.18413524,0.1481095,0.19611229,0.20627512,0.179362,0.23911786,0.14500211,0.21307215,0.18694535,0.18192159,0.12118116,0.19994918,0.16101772,0.12363128,0.21773998,0.2077277,0.140208,0.15756367,0.17318726,0.16011819,0.21032116,0.20180866,0.15509729,0.17909849,0.16872688,0.20360082,0.1803973,0.1631265,0.17858368,0.23129354,0.14699492,0.13351461,0.19466084,0.16997936,0.20087674,0.14209212,0.14775264,0.16972838,0.19442879,0.20971826,0.15562242,0.15174127,0.14123827,0.24041782,0.20292988,0.07723285,0.18778461,0.21812443,0.20444396,0.2243185,0.18639411,0.15179355,0.16672274,0.19066705,0.17769021,0.17283255,0.16464277,0.16160965,0.15401828,0.13549745,0.19364922,0.17123237,0.16007975,0.1842685,0.16620016,0.17965391,0.1996637,0.17063935,0.18373781,0.21744817,0.2197885,0.17204738,0.18429275,0.18986979,0.23295821,0.18454862,0.15467167,0.18132815,0.19654585,0.21236122,0.1561072,0.25048077,0.19068442
