id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
21318161,,C=CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],,1,289.482009172,206.459334038,221.171486643,0.26589408972067136,homopoly,239.037609951
23500968,,C=CC(=O)OCC(CCC)CCCCC,,2,458.779114225,439.834360229,457.64460404,0.534093776642652,homopoly,452.0860261646667
66643588,,C=CC(=O)OCCSC(C)(C)c1ccccc1,,0,161.489344571,112.510451538,129.226746765,0.1341803609933285,monomer,134.40884762466666
129849674,,C=CC(=O)O[C@@]1(O)O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,,1,156.989453275,196.946153151,192.369220358,0.19421921918962903,homopoly,182.101608928
3022444,,C=CC(=O)OCC(C)CCCCCCCCCCCCCCC,,0,172.416157851,168.690164209,193.766014237,0.1894218896688801,monomer,178.2907787656667
62552,,C=CC(=O)OCCCCCCCCCCCCCCCCCC,,2,723.863849539,740.681661812,680.256198973,0.8649843772233617,homopoly,714.9339034413333
168442280,,C=CC(=O)OCCC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,1,683.95885888,455.424132154,563.847783322,0.6796913049017309,homopoly,567.743591452
68771319,,C=CC(=O)OC(Cc1ccc(Cc2ccccc2)cc1)NCC,,1,291.951445693,347.413047084,362.19890842,0.38525593171425904,homopoly,333.8544670656667
118885882,,C=CC(=O)NCCOCCOC(=O)C=C,,1,191.376642176,167.183914763,235.27386636,0.21416370431559317,homopoly,197.94480776633333
59317428,,C=CC(=O)OCCc1ccc(OC(C)=O)cc1,,1,215.743606085,221.386353905,274.750802618,0.26369859691203756,homopoly,237.293587536
129774974,,C=CC(=O)OC(F)(OC(=O)C=C)OC(=O)C=C,,2,442.315320251,340.697096028,346.156684774,0.43880214648094734,homopoly,376.389700351
2776049,,C=CC(=O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,,2,337.870211285,380.792074876,373.742088269,0.42337484229457256,homopoly,364.1347914766666
86740375,,C=CC(=O)OCC(=O)OC,,2,260.862868762,216.592769213,223.19192955,0.25898489621442616,homopoly,233.549189175
121476710,,C=CC(=O)OC1CC2CC[C@]1(C)C2(C)C,,0,125.721485034,79.110076292,119.354107783,0.10101303691028604,monomer,108.061889703
3022439,,C=CC(=O)OCC(C)CCCCCCCCCC,,2,536.801726477,545.973572604,565.06940263,0.6564500661147542,homopoly,549.281567237
21981399,,C=CC(=O)OCCCN,,2,255.708408635,226.142595699,219.879102067,0.2594391538158734,homopoly,233.910035467
129689811,,C=CC(=O)O[C@@]1(CO)O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,,2,624.613267417,614.714429918,571.525877278,0.7248522466375381,homopoly,603.6178582043333
149983942,,C=CC(=O)Oc1cccc(NC(C)=O)c1,,2,344.952337799,458.772102334,497.25085347,0.5108958797147356,homopoly,433.658431201
904858,,C=CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,,0,131.543408872,108.908515302,87.3127727102,0.10251487726791167,monomer,109.2548989614
22186490,,C=CC(=O)OCCC(C)(C)C,,1,157.04662664,151.035712809,159.208678053,0.16106325197090302,homopoly,155.76367250066664
72941646,,C=CC(=O)OCC[N+](C)(C)CC,,1,350.207453729,201.343564531,1186.30655858,0.6942214881504755,homopoly,579.2858589466667
54438140,,C=CC(=O)OCCC1NCCO1,,2,332.25079969,277.803721469,295.650986345,0.34503180874357636,homopoly,301.90183583466666
129854601,,C=CC(=O)OCCC(=O)OCCCCCCCC,,0,125.882843805,126.412047213,115.519672154,0.11932069976677911,monomer,122.60485439066667
3023480,,C=CC(=O)OCCCc1ccco1,,0,59.9657099977,94.9882315055,103.040106715,0.07323754763375948,monomer,85.99801607273332
62414,,C=CC(=O)OCCOCCOCCOC(=O)C=C,,2,454.771138077,459.319733425,450.07340115,0.5374113931037438,homopoly,454.7214242173333
3022446,,C=CC(=O)OCC(C)CCCCCCCCCCCCCCCCC,,1,394.986961502,369.599026715,412.152749297,0.45876343326663516,homopoly,392.2462458380001
18667925,,C=CC(=O)OCCOc1ccccc1C,,2,414.510209684,379.107313748,461.098453928,0.49148443269236064,homopoly,418.23865912
81766,,C=CC(=O)OCCOCCOCC,,1,172.692151426,152.276800218,179.282431592,0.1765726507178357,homopoly,168.083794412
90476426,,C=CC(=O)OC1CC2C(C1)[C@H]1CC[C@@H]2C1,,0,116.679155194,103.706919608,100.180135455,0.09949423076567734,monomer,106.85540341899998
23325021,,C=CC(=O)Oc1ccccn1,,0,122.292582843,62.6406653404,45.8908267556,0.061836417229279204,monomer,76.94135831300001
53735402,,C=CC(=O)ON=C=O,,1,138.971676184,80.6656107831,58.1562462157,0.08154585576874629,homopoly,92.59784439426666
13651710,,C=CC(=O)OCC(C)(C)C=O,,0,76.8112206199,45.855647939,93.784664559,0.055805376202394806,monomer,72.1505110393
44152441,,C=CC(=O)OC(C)COCC(COCC(C)OCC(C)OC(=O)C=C)OCC(C)O,,0,177.964430494,189.664865688,226.127835008,0.21413127081244282,monomer,197.91904373
543287,,C=CC(=O)OC(CCC)CCCCCCCCCCC,,1,327.646014277,298.546195275,298.981294677,0.35320101697557854,homopoly,308.3911680763333
105238,,C=CC(=O)OCCN(C)S(=O)(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1,339.516583071,336.408943588,331.709332187,0.38780365156993224,homopoly,335.87828628200003
67921,,C=CC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1,342.687532373,333.99880234,352.337047204,0.3967787557478368,homopoly,343.0077939723333
18667925,,C=CC(=O)OCCOc1ccccc1C,,1,185.624249915,193.669575984,269.707246092,0.2373128678886448,homopoly,216.33369066366663
2774977,,C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,,0,68.8297266741,42.9676124189,78.4158167783,0.04479516439554524,monomer,63.40438529043333
129653916,,C=CC(=O)OOC(=O)C1=CS1=O,,1,194.937551553,174.694324493,119.371839341,0.17017438717431818,homopoly,163.00123846233333
59689374,,C=CC(=O)OCCCC(F)(F)C(F)(F)F,,2,261.154682033,296.757079284,306.117956454,0.32754371228602897,homopoly,288.0099059236666
169406,,C=CC(=O)OCCOP(=O)(O)O,,1,138.039056413,127.442168154,141.745547013,0.13585894671206256,homopoly,135.74225719333333
21909953,,C=CC(=O)OF,,1,73.7300755541,39.6213481349,73.4965374102,0.043383053163821676,homopoly,62.28265369973334
100973,,C=CC(=O)OCCC(=O)NC,,0,71.9051800404,62.2553623146,71.9749819153,0.05147654742819429,monomer,68.71184142343333
3083883,,C=CC(=O)OC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,,2,484.973407207,543.955579341,535.735799068,0.6215459070017664,homopoly,521.5549285386667
19706376,,C=CC(=O)OC1CCC(c2cccc(F)c2F)CC1,,1,214.979346532,310.485350759,261.244246971,0.29509818086453654,homopoly,262.236314754
543286,,C=CC(=O)OC(CC)CCCCCCCCCCCC,,0,162.618012351,151.605797442,153.472699233,0.161233405312444,monomer,155.89883634199998
28803,,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,,1,238.214959867,272.026715346,285.239062617,0.2987790222596406,homopoly,265.16024594333334
44152441,,C=CC(=O)OC(C)COCC(COCC(C)OCC(C)OC(=O)C=C)OCC(C)O,,1,406.956919705,387.33159712,377.35611519,0.4566258323020901,homopoly,390.5482106716667
82699,,C=CC(=O)OCc1ccco1,,2,239.228571518,269.872932989,316.190104272,0.31128833258056293,homopoly,275.0972029263333
109857,,C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,0,168.077975637,117.595477386,171.816366234,0.15695044927643167,monomer,152.496606419
69890866,,C=CC(=O)OC1C2CC3C(=O)OC1C3C2,,0,88.3885561542,87.2431279624,102.014022782,0.08148382454309674,monomer,92.5485689662
118274604,,C=CC(=O)OCCCOc1ccc(OC(=O)/C=C/c2ccc(C#N)cc2)cc1,,0,276.009168183,175.746757093,276.262450717,0.2704703015702944,monomer,242.67279199766665
3086961,,C=COCCOCCOC(C)OC(=O)C=C,,2,408.994643355,436.563250174,395.030212571,0.4855560609226217,homopoly,413.5293687
75118,,C=COC(=O)C=C,,2,187.033326605,156.66176684,223.182566561,0.20285204160514497,homopoly,188.959220002
170900921,,C=CC(=O)OCCCCn1cnc2c(N)nc(N)nc21,,0,178.18254954,75.5283861192,145.614798551,0.13254349415500308,monomer,133.10857807006667
54411860,,C=CC(=O)OCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,2,666.194141523,579.511550044,662.168144572,0.7655641252311589,homopoly,635.9579453796667
21884879,,C=CC(=O)Oc1ccccc1C(=O)c1ccccc1,,1,314.20068573,275.589716307,257.139686982,0.3203683243949043,homopoly,282.310029673
69736699,,C=CC(=O)Oc1ccc2cccc(O)c2n1,,2,529.049299392,645.038512923,279.369150555,0.5748806093919188,homopoly,484.48565429
146013805,,C=CC(=O)OC(C#N)(C(F)(F)Cl)C(F)(Cl)Cl,,0,96.6844116995,83.6000232787,86.2938497328,0.07683968587186502,monomer,88.85942823700002
174625,,C=CC(=O)OCC1(CC)COC(C(C)(C)COC(=O)C=C)OC1,,0,139.28157167,157.164216008,167.79032847,0.15978134681951148,monomer,154.74537204933333
164577025,,C=CC(=O)Oc1ccc2cc(/C=C/C3=CC(=C(C#N)C#N)CC(C)(C)C3)c(=O)oc2c1,,0,231.564605054,564.411803833,350.770202443,0.44617806418225736,monomer,382.2488704433334
6538148,,C=CC(=O)OC/C=C/C,,2,293.250982583,257.353528663,225.751469732,0.2907538451796707,homopoly,258.7853269926667
10034607,,C=CC(=O)OCC#N,,2,179.319762043,203.456520277,169.286518772,0.19663539440174865,homopoly,184.02093369733333
58165347,,C=CC(=O)OCC(C)OCC(C)OCC(C)OC,,1,257.204343217,242.234592519,221.096853016,0.26733044007610396,homopoly,240.17859625066663
543579,,C=CC(=O)OCCCCCCCCCCCCCCC,,2,622.473378906,609.063332953,617.834614262,0.7410151593985258,homopoly,616.457108707
76709,,C=CC(=O)Oc1ccc(O)cc1,,2,199.664336806,268.969807729,511.718914949,0.3763555964320514,homopoly,326.78435316133334
2778248,,C=CC(=O)OC(C)(C(F)(F)F)C(F)(F)F,,0,89.1942582241,63.3151150466,37.4707561637,0.044697381274174906,monomer,63.32670981146666
9815589,,C=CC(=O)OCCCCOCC1CO1,,1,169.50379092,213.824076623,169.597306426,0.19699726541011991,homopoly,184.308391323
22372339,,C=CC(=O)Oc1ccc(CCC)cc1,,0,166.152688355,58.8272802749,106.841081033,0.1042170139068144,monomer,110.6070165543
129786647,,C=CC(=O)OC1C=CS1,,2,272.700842434,253.604799171,243.953019849,0.288195273100981,homopoly,256.75288715133337
84997,,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,,2,478.425161175,528.900836304,542.716302515,0.6154099839480001,homopoly,516.6807666646667
145994990,,C=CC(=O)OCCOc1ccnc2cc(Cl)ccc12,,0,148.563652594,78.4481147666,210.54021676,0.14858408630517522,monomer,145.8506613735333
543281,,C=CC(=O)OC(CC)CCCCCCCCCC,,1,285.508272484,263.740996561,275.400392525,0.31101895712820626,homopoly,274.88322052333325
129786785,,C=CC(=O)OC1=CSC1,,2,261.415470692,299.618467979,220.580953308,0.29296060223061915,homopoly,260.5382973263333
135398202,,C=CC(=O)OCC(C)(COC(=O)C=C)C(=O)OCC,,0,122.774099004,124.413541717,117.220624132,0.11789134056453024,monomer,121.46942161766668
62012,,C=CC(=O)OC(C)CCCCCCCC,,2,418.706791936,462.047933592,470.014357983,0.5317904711904294,homopoly,450.2563611703333
22664433,,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,1,174.660183012,163.021416597,154.32625308,0.1714349905904904,homopoly,164.00261756300003
59992627,,C=CC(=O)OCCOCCC(=O)ON1C(=O)CCC1=O,,0,141.561913516,98.8835695874,120.832682376,0.11657788063688593,monomer,120.4260551598
11217487,,C=CC(=O)OCC1(CC)COC1,,1,147.229981052,159.133790569,167.304032792,0.16373909483562724,homopoly,157.88926813766668
129851491,,C=CC(=O)Oc1cc(Cl)cc2c3ccccc3n(CCO)c12,,0,224.215002145,136.911281408,191.253486206,0.19676840156629263,monomer,184.12658991966669
167312788,,C=CC(=O)OCCOCCNC(=O)CCCN1C(=O)C=CC1=O,,2,677.016439291,549.482450459,510.51520622,0.6938675446521239,homopoly,579.0046986566666
171395280,,C=CC(=O)O[C@@]1(C=C)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,1,417.590235656,416.93821464,385.256342248,0.4768265237876397,homopoly,406.5949308480001
2775810,,C=CC(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,2,392.722896854,341.579847868,386.105226945,0.4351257800158843,homopoly,373.469323889
90375286,,C=CC(=O)OCCSSCCCCCCCCCC,,1,308.768845871,285.008411847,344.059813217,0.35851493369965093,homopoly,312.6123569783333
14496496,,C=CC(=O)OCCC(=O)OCC,,1,152.795850408,152.749138101,135.73549623,0.15014864882155088,homopoly,147.093494913
129823876,,C=CC(=O)OOC(=O)C1=CN=N1,,1,153.440328997,116.901197771,157.79578549,0.14463347875330598,homopoly,142.71243741933333
155899407,,C=CC(=O)OCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,,0,425.018679716,757.799759057,451.919526175,0.6509501852912953,monomer,544.9126549826666
168655174,,C=CC(=O)Oc1cc(-c2nc3ccccc3s2)ccc1-c1nc2ccccc2s1,,0,478.534625716,359.997294641,118.74069576,0.36667052453609045,monomer,319.090872039
46835728,,C=CC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,,1,290.214895269,340.588945366,269.555692132,0.3427885177955409,homopoly,300.1198442556667
