id_A,id_B,smiles_A,smiles_B,chain_size,xx,yy,zz,static_polarizability,type,static_polarizability_original
131743680,87216247,CCO/C=C(\C(=O)C1=NC(=CC=C1)OC)/C(=O)OCC,CC(C)(C)OC(=O)/C=C/C1=NC(=C(C=C1)NC=O)OC,1,270.957987498,337.683518696,231.165460786,0.6641762361228477,copoly,279.93565566
102136602,23074693,C=C(CCl)C(=O)OCC#C,C=CC(=O)OC1CC2CC1C=C2,1,164.575723029,138.863571187,149.087479426,0.2782410811370573,copoly,150.84225788066666
18392,11309854,COCCOC(=O)C=C,CCOC(=O)/C=C/C1=NC=CC=N1,1,120.142874998,179.413371342,130.576115402,0.25592444585305485,copoly,143.37745391400003
54550688,5371085,CCC(COC(=O)C=C)C#N,COC(=O)/C=C/C1=CN=CN1,1,160.891039472,142.090588092,116.330200269,0.2451414920562044,copoly,139.77060927766664
59168074,58216629,COC(=O)/C=C/C1=C(C=NC=C1)N,CCOC(=O)/C=C/C1=NC(=NC=C1N)I,1,130.354103898,248.283943162,224.64729331,0.4284760578192418,copoly,201.0951134566667
11105675,3019605,CCOC(=O)/C=C/C(=O)Cl,C=CC(=O)OCC1=C(C=CC=C1Cl)[N+](=O)[O-],1,191.288728606,140.609537406,183.85483683,0.34124782297083955,copoly,171.91770094733337
18718363,85078003,C=CC(=O)OCCN1C(=O)C=CC1=O,COC(=O)C=CNC=CC(=O)C(F)(F)F,1,140.388035188,205.451273353,158.101118093,0.32947617262167583,copoly,167.98014221133334
16213776,102480740,COC(=O)C=C.C=CC#N,[2H]C(=C([2H])[13C](=O)OCC(C(F)F)(F)F)[2H],1,147.406177412,157.507512985,113.120489746,0.2438682816836124,copoly,139.34472671433332
86736826,11815329,CCC(C)(N)OOC(=O)C=C,COC(=O)C(=C)CO,1,109.813907591,124.553044228,125.559523684,0.1859623872385156,copoly,119.97549183433334
90486,2496930,CCOC(=O)C=CC1=CC2=C(C=C1)OCO2,CC1=C(C(=CC=C1)C)OC(=O)/C=C/C2=CC=CO2,1,189.998531937,281.836306503,255.54073413,0.5521353200798678,copoly,242.45852419
