epoch,train_loss,val_loss
0,144774.16473307292,44527.20213407629
1,77894.55309450785,42835.347828584556
2,76231.03755940754,46979.88847081801
3,76669.42828374227,48205.87601964614
4,74832.20994364421,42277.91107536765
5,79010.53064208984,42391.78831571691
6,74470.2312491862,42042.20875459559
7,73719.7346101888,56593.54889275046
8,74193.19038614909,43065.2511919807
9,76845.11848185222,41775.493278952206
10,74209.26324325561,58594.55118336397
11,73640.5428289795,46045.36375517004
12,73486.00711344401,41123.06676528033
13,73220.95881795247,44462.45761287914
14,72580.24727457682,40750.02547679228
15,73511.29642257691,46209.81841681985
16,71768.31764038086,43386.590217141544
17,72519.910627594,40141.41107536765
18,72099.65822672527,42133.56137264476
19,72255.32664306641,40586.03822954963
20,69421.44904184977,39700.62037568934
21,70339.43123453775,41171.480583639706
22,73662.72610132853,39225.86168715533
23,70471.99227579753,43510.054802389706
24,68254.66701174657,38767.84283088235
25,69100.69151002249,40182.78831571691
26,69159.39552825928,38405.32387408088
27,69637.13921152751,42724.35643095129
28,68394.11240407308,43225.0243694081
29,67832.20170567831,40556.81982421875
30,67347.88111897786,42184.83756031709
31,67225.30286092122,41831.35543284697
32,65538.90378351847,38362.852165670956
33,64641.10001790365,36489.92041015625
34,69314.68962402343,36698.63282686121
35,63219.196573486326,37047.11190257353
36,64824.74910280864,39714.827665441175
37,62947.69819636027,37366.764131433825
38,64413.87282546997,44495.277731502756
39,62815.76628499349,58130.85345818015
40,61730.50438476563,35603.81810087316
41,62790.7427935791,49095.502032111675
42,61729.157470296224,37474.38972024357
43,60790.690586751305,39819.96797449449
44,59822.44113708496,36357.95571719899
45,59309.7878116862,36372.578512752756
46,58191.04874084473,37561.644157858456
47,57160.9760160319,32366.84929342831
48,57117.80768310547,37780.85979865579
49,56322.57935740153,32676.35954733456
50,55910.44249979655,35814.52676930147
51,55759.07994750977,42874.07741411994
52,54919.4145526123,29936.49516027114
53,53020.768547693886,29154.6101361443
54,52474.863683427175,28483.53644875919
55,51341.76473426819,35453.07619341682
56,51371.90000854492,29231.281192555147
57,51527.20779622396,31949.12967457491
58,48716.4194144694,26540.376349954044
59,49884.76298258464,27801.772058823528
60,49620.388270136515,28497.140086454503
61,47501.431120961504,28676.377197265625
62,46328.03120371501,28030.83614573759
63,47193.15475992839,27299.82799574908
64,44787.84659907023,25451.50004308364
65,45153.30724456787,25405.043643727022
66,43203.71739944458,22508.31901999081
67,43465.51782592773,23391.38801125919
68,40360.36426534017,25942.42053940717
69,41888.34305464427,29611.327837775734
70,39934.63871968587,20467.506060431984
71,39439.86123514811,20379.730853136847
72,39780.578591664635,19654.760548311122
73,38519.6368544515,20947.13969152114
74,36900.8329498291,21572.98305376838
75,36494.1459862264,19881.80929026884
76,36547.30098042806,18479.302242503447
77,34740.5985601298,19337.055886661306
78,34505.160312093096,18032.953139361212
79,34089.47344207764,18300.96372357537
80,33006.54659810384,21623.266529756434
81,32643.77291687012,22596.024887982538
82,32462.173397216797,14728.904926075655
83,31937.973443400064,15781.324051352109
84,30441.047225036622,19718.828160903035
85,29639.157381490073,18351.52698471967
86,29279.144719263713,15955.6798508588
87,28464.939588368732,13104.366252225987
88,28412.637610473634,14316.13887427835
89,27777.566037394205,17667.491627412684
90,28001.932922388714,15672.524442784927
91,27408.56334737142,17449.390531652112
92,26592.931251627604,20913.63005065918
93,27270.413925882975,12018.277688419117
94,26958.728060709636,13120.34831686581
95,24762.84063753764,15688.058216768153
96,24469.21178293864,14613.366467644186
97,24339.332930083274,11549.448748420267
98,24025.844228006998,11136.04551786535
99,23532.920919062297,12997.164773380055
100,23112.723376223246,12466.009607651655
101,23391.757494049074,15237.903578814337
102,22400.873885294597,15546.87540211397
103,22498.579702860516,10813.428552964155
104,21655.534307053884,10338.950744628906
105,21713.308241628012,10645.521929572611
106,21734.991426595054,9981.605321547564
107,20834.706967926024,10737.620472627528
108,21337.254165687562,9793.14251349954
109,21205.877502085368,9799.376222498277
110,19783.583881734212,14387.474700030158
111,19530.66680553436,9610.004380170038
112,19367.749637959798,12828.581363453584
113,18701.03613712311,10395.118564605713
114,19122.56055887858,14267.436193129595
115,19136.985853881837,13084.187485638788
116,18564.913564860028,8932.260909136603
117,18269.062047780353,13085.426348517924
118,17725.267111714682,9562.85443833295
119,17958.274791412354,9483.616623822381
120,17518.02146443685,13771.767592486212
121,17217.36698009491,8295.769150229062
122,17705.192778066,8716.495068269618
123,16042.490551439922,11650.42823342716
124,16502.147218188446,10793.27206914565
125,15937.654701404572,9144.99040670956
126,15913.981573826472,8125.167081945083
127,17007.24587088267,10727.071960449219
128,15956.079097035727,14528.164651309742
129,16372.577527592977,7923.102034624885
130,14806.193871943951,11225.92552723604
131,14113.672544962565,14802.362520105698
132,14319.632328186035,7296.124023100909
133,14042.501472829183,7513.909814722398
134,15120.748865369162,8847.091066248277
135,14144.25289911906,10138.733869833104
136,13240.99852230072,6976.1937571132885
137,14208.989103673299,9302.204065659467
138,13351.007381439209,8531.508189481847
139,12841.930596752167,6267.364238065832
140,12918.787237879435,7095.230974982766
141,12215.63590137437,6187.9854807012225
142,12477.917153778077,6521.722654454848
143,12063.320349222819,9173.349041209502
144,11737.86279683431,5719.910757625804
145,11813.693918558756,11130.862232881434
146,11277.717474009196,7687.992252574248
147,12451.459697926839,5488.91358611163
148,11032.984841473897,6086.175747142119
149,10855.640090993245,5529.15823543773
150,10423.021114427249,9867.467184627758
151,10628.983294671376,5366.835831586052
152,11099.859878238041,17673.42486931296
153,10155.637973009745,6558.007705688477
154,9992.32547949791,8072.736033720129
155,10098.008422991436,8739.96224975586
156,9380.957219130198,5688.087337718291
157,9200.171715730032,10115.105289234834
158,10659.062450175285,5536.283239028033
159,10226.279969088237,20023.949926488538
160,9585.699757825534,6782.712819043328
161,9446.376199245453,7186.910735186409
162,9473.954662424723,9929.788513183594
